id,dateOccurred,yearOccurred,monthOccurred,dayOccurred,timeOccurred,month,year,ucr,crime,description,newCrime,unfounded,adjustment,count,district,neighborhood,ileadsaddress,ileadsstreet,cadaddress,cadstreet,locationName,locationComment,xcoord,ycoord,insample,_source
2,01jan1985,1985,1,1,1729,January,2008,Sex Offenses,179210,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,Yes,No,No,1,9,59,2700,HOWARD ST,2700,HOWARD,,,901791.81,1024515,0,January2008.dta
6,01jan2005,2005,1,1,1,January,2008,Sex Offenses,172100,SEX OFFNS-SODOMY/FORCIBLE,No,No,Yes,1,9,31,2700,HICKORY ST,2700,HICKORY,,,900117.88,1015110,0,January2008.dta
7,01jan2005,2005,1,1,1,January,2008,Sex Offenses,179210,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,No,No,Yes,-1,9,31,2700,HICKORY ST,2700,HICKORY,,,900117.88,1015110,0,January2008.dta
8,01jan2005,2005,1,1,1,January,2008,Sex Offenses,179210,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,Yes,No,No,1,9,31,2700,HICKORY ST,2700,HICKORY,,,900117.88,1015110,0,January2008.dta
11,01jan2006,2006,1,1,700,January,2008,Sex Offenses,179200,SEX OFFNS-CHILD MOLESTATION,No,Yes,No,-1,7,51,5100,MINERVA AVE,5100,MINERVA,,,887476.88,1029763,0,January2008.dta
77,01jan2008,2008,1,1,200,January,2008,Sex Offenses,171200,SEX OFFNS-STATUATORY RAPE/FIRST,Yes,No,No,1,6,69,4500,BESSIE AVE,4500,BESSIE,,,896049.31,1035520,1,January2008.dta
267,02jan2008,2008,1,2,1246,January,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,3,21,700,CARROLL ST,0,CARROLL,,@SOULARD / MARKET,905629.63,1011355,1,January2008.dta
636,04jan2008,2008,1,4,1530,January,2008,Sex Offenses,175400,SEX OFFNS-SX MISCONDUCT/SECOND,Yes,No,No,1,2,82,0,@ART HILL,0,FOREST PK,WEST ART MUSEUM LOT,@FOREST PARK,879076.63,1022009,1,January2008.dta
741,05jan2008,2008,1,5,258,January,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,5,64,5300,BULWER AVE,5300,BULWER,,,903321.88,1036597,1,January2008.dta
823,05jan2008,2008,1,5,1530,January,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,1,2,7900,S BROADWAY,7900,S BROADWAY,,,888718.88,987290.63,1,January2008.dta
848,05jan2008,2008,1,5,1731,January,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,7,50,6000,NATURAL BRIDGE AVE,6000,NATURAL BRIDGE,,,884487.5,1039583,1,January2008.dta
1070,06jan2008,2008,1,6,2230,January,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,4,36,100,S 14TH ST,0,S 14TH,,,905595.63,1017724,1,January2008.dta
1147,07jan2008,2008,1,7,1305,January,2008,Sex Offenses,179210,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,Yes,No,No,1,4,33,1500,KEALTY LN,1500,KEALTY LN,,,903976.81,1014127,1,January2008.dta
1202,07jan2008,2008,1,7,1842,January,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,4,36,200,S 16TH ST,0,S 16TH,,,904759.5,1017664,1,January2008.dta
1263,07jan2008,2008,1,7,2140,January,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,4,0,1500,ST CHARLES ST,1500,ST CHARLES,,SIDEWALK,905580.81,1019185,1,January2008.dta
1424,08jan2008,2008,1,8,2127,January,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,4,36,1700,CHESTNUT ST,1700,CHESTNUT,,PARK,904537.63,1018285,1,January2008.dta
1509,09jan2008,2008,1,9,1035,January,2008,Sex Offenses,175500,SEX OFFNS-SX MISCONDUCT/FIRST,Yes,No,No,1,2,13,4900,REBER PL,4900,REBER PL,EPWORTH CITY SCHOOL,,886018.13,1010251,1,January2008.dta
1768,10jan2008,2008,1,10,2145,January,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,7,51,1300,N KINGSHIGHWAY BLVD,1300,N KINGSHIGHWAY,,,888174.5,1029422,1,January2008.dta
1908,11jan2008,2008,1,11,1615,January,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,9,38,4700,MCPHERSON AVE,4700,MCPHERSON,,,888615.13,1025090,1,January2008.dta
2134,12jan2008,2008,1,12,1630,January,2008,Sex Offenses,171300,SEX OFFNS-STATUATORY RAPE/SECOND,Yes,No,No,1,3,30,3000,TEXAS AVE,3000,TEXAS,,,898818.88,1007492,1,January2008.dta
2470,14jan2008,2008,1,14,1600,January,2008,Sex Offenses,175100,SEX OFFNS-SX MISCONDUCT/SUS<17&VIC 14-15/NO FO,Yes,No,No,1,2,8,4400,HAMPTON AVE,4400,HAMPTON,BUDER BRANCH LIBRARY,,878828.19,1003871,1,January2008.dta
2503,14jan2008,2008,1,14,2000,January,2008,Sex Offenses,171200,SEX OFFNS-STATUATORY RAPE/FIRST,Yes,No,No,1,3,27,4000,CLEVELAND AVE,4000,CLEVELAND,,,892092.38,1011401,1,January2008.dta
2507,14jan2008,2008,1,14,2030,January,2008,Sex Offenses,179220,SEX OFFNS-CHILD MOLESTATION-SECOND DEGREE,Yes,No,No,1,6,73,1600,ORCHID AVE,1600,ORCHID,,,893242.69,1051257,1,January2008.dta
2802,16jan2008,2008,1,16,1724,January,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,8,56,3900,LABADIE AVE,3900,LABADIE,,,898297,1028906,1,January2008.dta
2859,17jan2008,2008,1,17,104,January,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,3,21,2000,MENARD ST,2000,MENARD,,,903987.81,1010472,1,January2008.dta
2881,17jan2008,2008,1,17,832,January,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,4,36,200,N 17TH ST,0,N 17TH,,,904517.31,1018616,1,January2008.dta
2946,17jan2008,2008,1,17,1646,January,2008,Sex Offenses,178100,SEX OFFNS-EXPOSURE/LEWD&LACIV ACT,Yes,No,No,1,6,72,5800,W FLORISSANT AVE,5800,W FLORISSANT,,,892342.88,1045162,1,January2008.dta
3575,21jan2008,2008,1,21,1601,January,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,4,36,1500,LOCUST ST,1500,LOCUST,,IN ALLEY,905354.63,1018861,1,January2008.dta
4073,24jan2008,2008,1,24,2346,January,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,5,59,3600,COTTAGE AVE,3600,COTTAGE,NA,STREET,899312,1026544,1,January2008.dta
4329,26jan2008,2008,1,26,1544,January,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,4,34,700,CHOUTEAU AVE,0,CHOUTEAU,NESTLE RALSTON PURINA,,907189.5,1013900,1,January2008.dta
4355,26jan2008,2008,1,26,1810,January,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,5,59,2800,N GRAND BLVD,2800,N GRAND,,,899772,1027714,1,January2008.dta
4369,26jan2008,2008,1,26,1956,January,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,1,5,0,CHRISTY AVE / WILCOX,0,CHRISTY,,,884408.38,1001042,1,January2008.dta
5043,10feb2006,2006,2,10,1,January,2008,Sex Offenses,172300,SEX OFFNS-STATUATORY SODOMY/FIRST,Yes,No,No,1,8,58,4100,COOK AVE,4100,COOK,,,894327.31,1025607,0,January2008.dta
5054,23may2007,2007,5,23,1,January,2008,Sex Offenses,172300,SEX OFFNS-STATUATORY SODOMY/FIRST,Yes,No,No,1,2,10,3300,COMMONWEALTH AVE,3300,COMMONWEALTH,RESIDENCE,,873009.5,1009478,0,January2008.dta
5056,01jun2005,2005,6,1,2200,January,2008,Sex Offenses,172100,SEX OFFNS-SODOMY/FORCIBLE,Yes,No,No,1,1,1,7900,RIO TINTO PL,7900,RIO TINTO PL,,,886071.13,989538.88,0,January2008.dta
5057,01jun2006,2006,6,1,1,January,2008,Sex Offenses,171200,SEX OFFNS-STATUATORY RAPE/FIRST,Yes,No,No,1,3,27,3900,SHAW BLVD,3900,SHAW,,,892997.13,1013154,0,January2008.dta
5059,01jun2007,2007,6,1,1,January,2008,Sex Offenses,171300,SEX OFFNS-STATUATORY RAPE/SECOND,Yes,No,No,1,3,19,3600,MINNESOTA AVE,3600,MINNESOTA,,VICTIM S RESIDENCE,895905.31,1003798,0,January2008.dta
5067,01jul2007,2007,7,1,1300,January,2008,Sex Offenses,179210,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,Yes,No,No,1,6,68,4400,CLARENCE AVE,4400,CLARENCE,,,897635.81,1035804,0,January2008.dta
5068,05jul2005,2005,7,5,1,January,2008,Sex Offenses,179210,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,Yes,No,No,1,8,55,4700,COTE BRILLIANTE AVE,4700,COTE BRILLIANTE,,,890320.31,1029894,0,January2008.dta
5106,26sep2007,2007,9,26,1315,January,2008,Sex Offenses,172300,SEX OFFNS-STATUATORY SODOMY/FIRST,Yes,No,No,1,4,61,0,GATEWAY DR,0,N JEFFERSON,,,902781.31,1022921,0,January2008.dta
5112,28sep2007,2007,9,28,2300,January,2008,Sex Offenses,171200,SEX OFFNS-STATUATORY RAPE/FIRST,Yes,No,No,1,6,76,6300,W FLORISSANT AVE,6300,W FLORISSANT,THE STUDIO,,889919,1048658,0,January2008.dta
5134,26oct2007,2007,10,26,1,January,2008,Sex Offenses,172300,SEX OFFNS-STATUATORY SODOMY/FIRST,Yes,No,No,1,1,6,4800,SIGEL AVE,4800,SIGEL,,,883147.63,999610.19,0,January2008.dta
5153,15nov2007,2007,11,15,2043,January,2008,Sex Offenses,171300,SEX OFFNS-STATUATORY RAPE/SECOND,Yes,No,No,1,9,59,3000,JAMES COOL PAPA BELL,3000,COOL PAPA BELL,,,899717.81,1023142,0,January2008.dta
5167,21nov2006,2006,11,21,2200,January,2008,Sex Offenses,179210,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,Yes,No,No,1,6,69,4600,BIRCHER BLVD,4600,BIRCHER,,,895545.88,1037242,0,January2008.dta
5192,01dec2007,2007,12,1,1,January,2008,Sex Offenses,172100,SEX OFFNS-SODOMY/FORCIBLE,Yes,No,No,1,8,55,4900,COTE BRILLIANTE AVE,4900,COTE BRILLIANTE,,,889162.88,1030969,0,January2008.dta
5211,04dec2007,2007,12,4,1335,January,2008,Sex Offenses,179210,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,No,Yes,No,-1,5,59,3100,SAINT LOUIS AVE,3100,ST LOUIS,COLUMBIA ELEMENTARY SCHOOL,,900510.38,1027067,0,January2008.dta
5212,04dec2007,2007,12,4,1335,January,2008,Sex Offenses,179210,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,Yes,No,No,1,5,59,3100,SAINT LOUIS AVE,3100,ST LOUIS,COLUMBIA ELEMENTARY SCHOOL,,900510.38,1027067,0,January2008.dta
5517,01jan1982,1982,1,1,1741,February,2008,Sex Offenses,179210,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,Yes,No,No,1,5,67,3900,CARTER AVE,3900,CARTER,,,900428.5,1033326,0,February2008.dta
5519,01jan2004,2004,1,1,1,February,2008,Sex Offenses,179200,SEX OFFNS-CHILD MOLESTATION,Yes,No,No,1,2,11,6500,MARMADUKE AVE,6500,MARMADUKE,,,877737.38,1011385,0,February2008.dta
5520,01jan2006,2006,1,1,1,February,2008,Sex Offenses,172100,SEX OFFNS-SODOMY/FORCIBLE,Yes,No,No,1,3,27,3600,SHENANDOAH AVE,3600,SHENANDOAH,,,893969.63,1011039,0,February2008.dta
5523,01jan2008,2008,1,1,1,February,2008,Sex Offenses,179200,SEX OFFNS-CHILD MOLESTATION,Yes,No,No,1,3,24,2800,SIDNEY ST,2800,SIDNEY,,,897666.31,1009738,1,February2008.dta
5524,01jan2008,2008,1,1,1,February,2008,Sex Offenses,171200,SEX OFFNS-STATUATORY RAPE/FIRST,Yes,No,No,1,4,33,1300,RUTGER ST,1300,RUTGER,,,904517.88,1013318,1,February2008.dta
5526,01jan2008,2008,1,1,1,February,2008,Sex Offenses,172310,SEX OFFNS-STATUATORY SODOMY/SECOND,Yes,No,No,1,5,64,1100,BRANCH ST,1100,BRANCH,,,907555.5,1027606,1,February2008.dta
5570,18jan2008,2008,1,18,1,February,2008,Sex Offenses,171300,SEX OFFNS-STATUATORY RAPE/SECOND,Yes,No,No,1,1,16,4000,GILES AVE,4000,GILES,,,892169.81,1001937,1,February2008.dta
5607,25jan2008,2008,1,25,1800,February,2008,Sex Offenses,172100,SEX OFFNS-SODOMY/FORCIBLE,Yes,No,No,1,9,39,4400,NORFOLK AVE,4400,NORFOLK,,,889228.63,1016586,1,February2008.dta
5884,02feb2008,2008,2,2,1334,February,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,3,21,1900,MENARD ST,1900,MENARD,,MARDI GRAS DETAIL,903989.88,1010997,1,February2008.dta
5898,02feb2008,2008,2,2,1432,February,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,3,21,1900,MENARD ST,1900,MENARD,,,903986.81,1010938,1,February2008.dta
5902,02feb2008,2008,2,2,1500,February,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,3,21,1000,GEYER AVE,1000,GEYER,MARDI GRAS DETAIL,,904288.63,1010688,1,February2008.dta
5933,02feb2008,2008,2,2,1630,February,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,3,21,1800,MENARD ST,1800,MENARD,,MARDI GRAS DETAIL,904200.38,1010941,1,February2008.dta
5950,02feb2008,2008,2,2,1705,February,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,3,21,1900,MENARD ST,1900,MENARD,,MARDI GRAS DETAIL,903989.88,1010997,1,February2008.dta
6714,07feb2008,2008,2,7,1455,February,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,7,51,1300,ACADEMY AVE,1300,ACADEMY,,,887004.13,1029601,1,February2008.dta
6755,07feb2008,2008,2,7,2051,February,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,4,64,1600,N BROADWAY,1600,N BROADWAY,,,910048.31,1022801,1,February2008.dta
7029,09feb2008,2008,2,9,1706,February,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,2,6,7500,HAMPTON AVE,7500,HAMPTON,,HAMPTON BUS TERMINAL,879164.19,994830.88,1,February2008.dta
7680,14feb2008,2008,2,14,1300,February,2008,Sex Offenses,172100,SEX OFFNS-SODOMY/FORCIBLE,Yes,No,No,1,0,0,0,UNKNOWN ST LOUIS,0,UNKNOWN,,,0,0,1,February2008.dta
7682,14feb2008,2008,2,14,1300,February,2008,Sex Offenses,172100,SEX OFFNS-SODOMY/FORCIBLE,No,No,Yes,-1,0,0,0,UNKNOWN ST LOUIS,0,UNKNOWN,,,0,0,1,February2008.dta
7711,14feb2008,2008,2,14,1652,February,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,7,0,5200,RIDGE AVE,5200,RIDGE,,ALLEY,885946.5,1030459,1,February2008.dta
8194,17feb2008,2008,2,17,2141,February,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,4,36,1400,LOCUST ST,1400,LOCUST,NEW LIFE EVANGELISTIC CENTER,@NEW LIFE EVNGLSTC CNTR,905751.38,1018998,1,February2008.dta
8276,18feb2008,2008,2,18,1415,February,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,2,9,7000,NOTTINGHAM AVE,7000,NOTTINGHAM,,,872288.38,1003338,1,February2008.dta
8502,20feb2008,2008,2,20,236,February,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,7,46,6100,DELMAR BLVD,6100,DELMAR,,,878235.19,1027360,1,February2008.dta
8759,22feb2008,2008,2,22,300,February,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,4,35,400,GRATIOT ST,0,GRATIOT,WHITE CASTLE PARKING LOT,,908279.88,1014201,1,February2008.dta
8778,22feb2008,2008,2,22,1037,February,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,5,59,2600,MONTGOMERY ST,2600,MONTGOMERY,,APT A,902069.88,1026573,1,February2008.dta
8817,22feb2008,2008,2,22,1601,February,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,7,50,1500,CLARA AVE,1500,CLARA,,,884443.81,1033031,1,February2008.dta
8825,22feb2008,2008,2,22,1720,February,2008,Sex Offenses,175500,SEX OFFNS-SX MISCONDUCT/FIRST,Yes,No,No,1,6,73,8900,GOODFELLOW BLVD,8900,GOODFELLOW,,,892965.81,1051470,1,February2008.dta
8838,22feb2008,2008,2,22,1840,February,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,7,78,1400,HODIAMONT AVE,1400,HODIAMONT,,,880855.38,1033435,1,February2008.dta
9054,24feb2008,2008,2,24,1035,February,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,4,35,1100,LUCAS AVE,1100,LUCAS,,,907340.63,1019121,1,February2008.dta
9132,25feb2008,2008,2,25,102,February,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,5,67,3800,N GRAND BLVD,3800,N GRAND,NA,SINGLE-FAMILY RESIDENCE,901372.81,1030000,1,February2008.dta
9828,29feb2008,2008,2,29,1653,February,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,4,36,0,N 17TH ST / PINE ST,0,N 17TH,,7-11 ALLEY,904607.63,1018571,1,February2008.dta
9870,01mar2003,2003,3,1,1,February,2008,Sex Offenses,172100,SEX OFFNS-SODOMY/FORCIBLE,Yes,No,No,1,7,48,1200,HODIAMONT AVE,1200,HODIAMONT,,,879842.81,1032097,0,February2008.dta
9887,01jul2007,2007,7,1,1,February,2008,Sex Offenses,179220,SEX OFFNS-CHILD MOLESTATION-SECOND DEGREE,Yes,No,No,1,8,55,5000,LABADIE AVE,5000,LABADIE,,,890475.88,1033483,0,February2008.dta
9888,01jul2007,2007,7,1,645,February,2008,Sex Offenses,172100,SEX OFFNS-SODOMY/FORCIBLE,Yes,No,No,1,3,27,3600,SHENANDOAH AVE,3600,SHENANDOAH,,,893969.63,1011039,0,February2008.dta
9930,10nov1998,1998,11,10,700,February,2008,Sex Offenses,179210,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,Yes,No,No,1,7,50,5400,ASHLAND AVE,5400,ASHLAND,,,888023.81,1035737,0,February2008.dta
9947,05dec2007,2007,12,5,1615,February,2008,Sex Offenses,179210,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,Yes,No,No,1,7,50,3400,GOODFELLOW BLVD,3400,GOODFELLOW,,,885370.38,1037740,0,February2008.dta
9977,27dec2007,2007,12,27,200,February,2008,Sex Offenses,171200,SEX OFFNS-STATUATORY RAPE/FIRST,Yes,No,No,1,1,2,600,W COURTOIS ST,0,COURTOIS,,,887346.63,988925.38,0,February2008.dta
10003,12jan2008,2008,1,12,1000,March,2008,Sex Offenses,172100,SEX OFFNS-SODOMY/FORCIBLE,Yes,No,No,1,9,59,,DAYTON ST,0,DAYTON,,,901848.88,1022787,1,March2008.dta
10047,10feb2008,2008,2,10,1500,March,2008,Sex Offenses,172100,SEX OFFNS-SODOMY/FORCIBLE,Yes,No,No,1,4,61,1700,COCHRAN PL,1700,COCHRAN PL,,,905432.69,1022657,1,March2008.dta
10049,10feb2008,2008,2,10,1500,March,2008,Sex Offenses,172100,SEX OFFNS-SODOMY/FORCIBLE,No,No,Yes,-1,4,61,1700,COCHRAN PL,1700,COCHRAN PL,,,905432.69,1022657,1,March2008.dta
10222,29feb2008,2008,2,29,2000,March,2008,Sex Offenses,171200,SEX OFFNS-STATUATORY RAPE/FIRST,Yes,No,No,1,8,56,3900,KENNERLY AVE,3900,KENNERLY,,,897631.88,1028141,1,March2008.dta
10246,01mar2007,2007,3,1,1,March,2008,Sex Offenses,171300,SEX OFFNS-STATUATORY RAPE/SECOND,Yes,No,No,1,9,59,1900,N GRAND BLVD,1900,N GRAND,GUEST HOST MOTEL,,899103.13,1025935,0,March2008.dta
10386,01mar2008,2008,3,1,1800,March,2008,Sex Offenses,172100,SEX OFFNS-SODOMY/FORCIBLE,Yes,No,No,1,7,50,5700,LABADIE AVE,5700,LABADIE,,,885431.13,1036544,1,March2008.dta
10479,02mar2008,2008,3,2,214,March,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,7,51,5300,DR MARTIN LUTHER KIN,5300,DR MARTIN L KING,,,886534.31,1031322,1,March2008.dta
10526,02mar2008,2008,3,2,1426,March,2008,Sex Offenses,177000,SEX OFFNS-INCEST,Yes,No,No,1,1,16,5000,VIRGINIA AVE,5000,VIRGINIA,,,893347.81,996398.81,1,March2008.dta
10670,03mar2008,2008,3,3,1002,March,2008,Sex Offenses,172100,SEX OFFNS-SODOMY/FORCIBLE,Yes,No,No,1,5,65,1400,NEWHOUSE AVE,1400,NEWHOUSE,,,905357,1031201,1,March2008.dta
11075,06mar2008,2008,3,6,1500,March,2008,Sex Offenses,175400,SEX OFFNS-SX MISCONDUCT/SECOND,Yes,No,No,1,3,27,2400,KLEMM ST,2400,KLEMM,,,890206.5,1010715,1,March2008.dta
11297,07mar2008,2008,3,7,2045,March,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,9,77,3600,OLIVE ST,3600,OLIVE,,,896713.69,1021365,1,March2008.dta
11474,08mar2008,2008,3,8,2200,March,2008,Sex Offenses,175100,SEX OFFNS-SX MISCONDUCT/SUS<17&VIC 14-15/NO FO,Yes,No,No,1,9,59,3600,N MARKET ST,3600,NORTH MARKET,,,899069,1026100,1,March2008.dta
11551,09mar2008,2008,3,9,938,March,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,7,51,5100,WELLS AVE,5100,WELLS,,,887168.19,1030398,1,March2008.dta
11598,09mar2008,2008,3,9,1833,March,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,6,79,8400,HALL ST,8400,HALL,CHRISTY FUEL MART,,898344.38,1050289,1,March2008.dta
11762,10mar2008,2008,3,10,1852,March,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,4,35,1000,N 2ND ST,0,N 2ND,LUMIERE CASINO,,910439.81,1019433,1,March2008.dta
11843,11mar2008,2008,3,11,700,March,2008,Sex Offenses,171300,SEX OFFNS-STATUATORY RAPE/SECOND,Yes,No,No,1,6,68,4000,FAIR AVE,4000,FAIR,SUB ZERO RECORDS,,898249.81,1032940,1,March2008.dta
11881,11mar2008,2008,3,11,1300,March,2008,Sex Offenses,179220,SEX OFFNS-CHILD MOLESTATION-SECOND DEGREE,Yes,No,No,1,0,0,1000,CARR LANE AVE,1000,CARR LANE,,,895836.81,1016808,1,March2008.dta
11917,11mar2008,2008,3,11,1716,March,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,7,48,6200,DELMAR BLVD,6200,DELMAR,SHELL GAS STATION,,877305.81,1027712,1,March2008.dta
12143,12mar2008,2008,3,12,2245,March,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,9,0,0,S. EUCLID,0,S EUCLID,,,0,0,1,March2008.dta
12400,14mar2008,2008,3,14,1430,March,2008,Sex Offenses,175100,SEX OFFNS-SX MISCONDUCT/SUS<17&VIC 14-15/NO FO,Yes,No,No,1,8,56,3900,GREER AVE,3900,GREER,,,898203.38,1029614,1,March2008.dta
12495,14mar2008,2008,3,14,2315,March,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,3,25,3200,S GRAND BLVD,3200,S GRAND,BP,GAS STATION,893829,1007322,1,March2008.dta
12659,15mar2008,2008,3,15,2230,March,2008,Sex Offenses,172100,SEX OFFNS-SODOMY/FORCIBLE,Yes,No,No,1,1,16,3900,OREGON AVE,3900,OREGON,,,896363.63,1001531,1,March2008.dta
12700,16mar2008,2008,3,16,120,March,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,1,16,4100,GRAVOIS AVE,4100,GRAVOIS,,,889849,1003566,1,March2008.dta
12748,16mar2008,2008,3,16,1120,March,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,7,51,5300,PAGE BLVD,5300,PAGE,,,885352.5,1029591,1,March2008.dta
