id,dateOccurred,yearOccurred,monthOccurred,dayOccurred,timeOccurred,month,year,ucr,crime,description,newCrime,unfounded,adjustment,count,district,neighborhood,ileadsaddress,ileadsstreet,cadaddress,cadstreet,locationName,locationComment,xcoord,ycoord,insample,_source
22750,08may2008,2008,5,8,1600,May,2008,Gambling,191200,GAMBLING-BY DICE,Yes,No,No,1,9,59,2824,GAMBLE ST,2824,GAMBLE,,REAR OF BUILDING,901086.13,1022366,1,May2008.dta
22950,09may2008,2008,5,9,1642,May,2008,Gambling,191200,GAMBLING-BY DICE,Yes,No,No,1,9,39,4239,ARCO AVE,4239,ARCO,,FRONT PORCH,889919.69,1017547,1,May2008.dta
23802,14may2008,2008,5,14,1853,May,2008,Gambling,191200,GAMBLING-BY DICE,Yes,No,No,1,9,77,3849,EVANS AVE,3849,EVANS,,VACANT BUILDING,896720.88,1025517,1,May2008.dta
41113,07aug2008,2008,8,7,1652,August,2008,Gambling,191200,GAMBLING-BY DICE,Yes,No,No,1,6,73,6027,W FLORISSANT AVE,6027,W FLORISSANT,,,891087.31,1047392,1,August2008.dta
109090,25aug2009,2009,8,25,2120,August,2009,Gambling,191200,GAMBLING-BY DICE,Yes,No,No,1,4,33,1505,HICKORY LN,,HICKORY,KING LOUIS APARTMENTS,,903929,1014003,1,August2009.dta
150893,11may2010,2010,5,11,1715,May,2010,Gambling,191200,GAMBLING-BY DICE,Yes,No,No,1,9,39,4346,SWAN AVE,,SWAN,,VACANT RESIDENCE,889225.13,1016729,1,May2010.dta
151431,14may2010,2010,5,14,2315,May,2010,Gambling,191200,GAMBLING-BY DICE,Yes,No,No,1,4,33,1108,GRATTAN ST,,GRATTAN,,,903646.13,1014293,1,May2010.dta
167561,18aug2010,2010,8,18,1519,August,2010,Gambling,191200,GAMBLING-BY DICE,Yes,No,No,1,7,78,1301,UNION BLVD,,,,,885308.81,1029902,1,August2010.dta
212476,11jun2011,2011,6,11,2000,June,2011,Gambling,191200,GAMBLING-BY DICE,Yes,No,No,1,6,69,4878,KOSSUTH AVE,,KOSSUTH,,,892849.31,1035965,1,June2011.dta
264042,19may2012,2012,5,19,1908,May,2012,Gambling,191200,GAMBLING-BY DICE,Yes,No,No,1,9,31,1200,S EWING AVE,,,,,898744.88,1015485,1,May2012.dta
270467,29jun2012,2012,6,29,1625,June,2012,Gambling,191100,GAMBLING-BY CARDS,Yes,No,No,1,4,35,800,PINE ST,,,8TH & PINE METROLINK STATION,8TH & PINE METROLINK STATION,907783.31,1017500,1,June2012.dta
315631,09may2013,2013,5,9,1240,May,2013,Gambling,191100,GAMBLING-BY CARDS,Yes,No,No,1,4,35,200,WASHINGTON AVE,,,LACLEDES LANDING METROLINK STATION,LACLEDES LANDING METROLINK STATION,0,0,1,May2013.dta
328709,12aug2012,2012,8,12,205,July,2013,Gambling,192100,GAMBLING-PROMOTING/BY CARDS,Yes,No,No,1,4,35,701,N 2ND ST,,2ND,,PARKING LOT,910233.88,1018482,1,July2013.dta
368269,27may2014,2014,5,27,1900,June,2014,Gambling,191200,GAMBLING-BY DICE,Yes,No,No,1,4,36,0,S 14TH ST / CLARK AVE,,,CIVIC CENTER,CIVIC CENTER,905366,1016898,1,June2014.dta
419100,01jun2015,2015,6,1,1530,June,2015,Gambling,199999,GAMBLING-OTHR UNSPEC OFFENS,Yes,No,No,1,4,77,1310,N GRAND BLVD,,,ZX GAS STATION,SOUTH SIDE OF THE PARKING LOT,898106.69,1024167,1,June2015.dta
