OBJECTID_1,ID,GRIDCODE,pop15,crime2016,ucr1_4,ucr1_8,sqmile,nhblk15,pov_det,pov,per_pov,per_blk,BarrierCou
1,9416.0,9416.0,35.9131241641,0.0,0.0,0.0,0.1013381782,30.4351491582,19.8642290365,5.79300423885,0.29162995595,0.8474659297,1.0
2,9417.0,9417.0,44.5027806694,0.0,0.0,0.0,0.1255760975,37.7145866386,24.6153282547,7.17856709453,0.29162995595,0.84746584531,0.0
3,9604.0,9604.0,91.6131006958,31.0,7.0,18.0,0.2585100701,77.6389794035,50.6729394037,14.777747086,0.29162995595,0.84746590623,0.0
4,9605.0,9605.0,71.8924962771,0.0,0.0,0.0,0.20286326968,60.9264362394,39.7650978331,11.5966937293,0.29162995595,0.84746586076,0.0
5,9791.0,9791.0,24.4853476463,3.0,2.0,2.0,0.06909174656,20.7504985473,13.5433098627,3.94963485862,0.29162995595,0.84746595584,1.0
6,9792.0,9792.0,132.191644746,0.0,0.0,0.0,0.37301292912,112.027911251,73.1176994079,21.3233114573,0.29162995595,0.84746590049,0.0
7,9793.0,9793.0,18.7185702564,0.0,0.0,0.0,0.05281928409,15.8633493632,10.3535948978,3.01941842393,0.29162995595,0.84746586657,0.0
8,9978.0,9978.0,8.28065835012,6.0,0.0,4.0,0.02336601921,7.01757539288,4.58018865493,1.33572021567,0.29162995595,0.84746587725,0.0
9,9979.0,9979.0,113.154082487,30.0,3.0,12.0,0.31929351961,95.894225233,62.5876628174,18.2524373503,0.29162995595,0.84746589009,1.0
10,9980.0,9980.0,67.3476693275,0.0,0.0,0.0,0.19003886903,57.074850466,37.2512681305,10.8635856839,0.29162995595,0.84746585941,0.0
11,10168.0,10168.0,8.27965115728,6.0,1.0,2.0,0.02336317606,7.01672155233,4.57963137544,1.33555769627,0.29162995595,0.84746584355,0.0
12,10169.0,10169.0,94.4832725223,13.0,1.0,4.0,0.26660899447,80.0713505536,52.2604846914,15.2407228483,0.29162995595,0.8474658891,0.0
13,10170.0,10170.0,30.2827744803,0.0,0.0,0.0,0.08545067633,25.6636170365,16.7499743165,4.88479427205,0.29162995595,0.8474658441,0.0
14,10364.0,10364.0,7.38993023465,0.0,0.0,0.0,0.00107753214,6.8729673726,7.3638936135,1.86328823251,0.25303030303,0.93004496042,0.0
15,10365.0,10365.0,368.14093053,141.0,29.0,80.0,0.11198908978,340.588287685,357.183016505,90.843357656,0.25433280268,0.92515734992,0.0
16,10366.0,10366.0,117.244885321,30.0,1.0,9.0,0.33083678035,99.3610421198,64.8503638907,18.9123087646,0.29162995595,0.84746589881,0.0
17,10367.0,10367.0,55.1076351398,1.0,0.0,1.0,0.15550044142,46.7018385624,30.4810734723,8.88919411395,0.29162995595,0.84746584469,0.0
18,10561.0,10561.0,406.457735932,53.0,8.0,27.0,0.08797378224,385.418360933,384.090732936,98.558165665,0.25660125906,0.94823723812,0.0
19,10562.0,10562.0,2250.50940224,337.0,50.0,201.0,0.30885212819,2113.81299831,2123.33286055,578.287242226,0.27234884034,0.93925979434,1.0
20,10563.0,10563.0,1556.95687707,431.0,60.0,227.0,0.38610215859,1448.33774143,1490.39529969,390.445321337,0.26197433756,0.93023625944,0.0
21,10564.0,10564.0,136.830323247,4.0,2.0,4.0,0.38610215859,115.959032425,75.6834397944,22.0715582132,0.29162995595,0.84746589552,0.0
22,10565.0,10565.0,9.38303129722,0.0,0.0,0.0,0.026476645,7.95179830206,5.18993161176,1.5135395273,0.29162995595,0.8474658189,0.0
23,10756.0,10756.0,179.927391269,23.0,0.0,9.0,0.02359026146,174.885593863,177.964565586,52.419493583,0.29455017301,0.97197871113,1.0
24,10757.0,10757.0,2354.1633286,387.0,62.0,223.0,0.34503911688,2286.62025644,2328.49468661,674.265589599,0.28957145295,0.97130909681,0.0
25,10758.0,10758.0,1090.83780432,187.0,13.0,101.0,0.38610215859,1048.63209474,1076.58333206,239.177654789,0.22216362419,0.96130890458,0.0
26,10759.0,10759.0,589.979370167,294.0,45.0,161.0,0.38610215859,555.695324841,541.74657377,125.398142352,0.23147011615,0.94188941672,0.0
27,10760.0,10760.0,134.15091246,0.0,0.0,0.0,0.37854150282,113.688321501,74.2014059249,21.6393527411,0.29162995595,0.84746588313,0.0
28,10761.0,10761.0,3.61622727596,0.0,0.0,0.0,0.01020411473,3.06462751315,2.00020254596,0.58331898036,0.29162995595,0.84746540504,0.0
29,10950.0,10950.0,1381.99504513,282.0,53.0,137.0,0.22137234615,1338.52051733,1362.70541451,421.665143745,0.30943235365,0.96854219705,1.0
30,10951.0,10951.0,2246.42594249,341.0,65.0,195.0,0.38610215859,2192.56630163,2228.31722843,804.052899077,0.36083412578,0.97602429715,3.0
31,10952.0,10952.0,1216.28391513,79.0,15.0,42.0,0.38610215859,1178.9650724,1203.86898062,352.120117928,0.29249039854,0.96931732611,0.0
32,10953.0,10953.0,535.734946635,77.0,15.0,49.0,0.38610215859,506.467467035,498.562955306,107.784931455,0.21619121579,0.94536947835,0.0
33,10954.0,10954.0,136.830323247,78.0,8.0,23.0,0.38610215859,115.959032425,75.6834397944,22.0715582132,0.29162995595,0.84746589552,0.0
34,10955.0,10955.0,39.8806535987,0.0,0.0,0.0,0.1125335746,33.7974901356,22.0587414053,6.43298978428,0.29162995595,0.84746580324,0.0
35,11143.0,11143.0,209.054002686,37.0,5.0,19.0,0.07591187985,196.374308723,200.465478371,79.5288338304,0.39672084429,0.93934727965,1.0
36,11144.0,11144.0,1159.99917567,64.0,9.0,30.0,0.38128282551,1099.05656913,1119.85947418,452.294500243,0.40388505047,0.94746323289,1.0
37,11145.0,11145.0,2524.31220303,349.0,62.0,181.0,0.38610215859,2481.12272774,2503.84684665,1061.23966345,0.42384368073,0.9828905968,0.0
38,11146.0,11146.0,2141.2213864,278.0,59.0,129.0,0.38610215859,2081.2769522,2129.38566834,613.338028984,0.288035201,0.9720045603,0.0
39,11147.0,11147.0,179.940253716,21.0,3.0,10.0,0.38610215859,158.31876528,120.783365309,33.5715063913,0.2779480958,0.87984073608,0.0
40,11148.0,11148.0,136.830323247,22.0,1.0,19.0,0.38610215859,115.959032425,75.6834397946,22.0715582132,0.29162995595,0.84746589552,0.0
