OBJECTID_1,FID_1,OBJECTID_2,OBJECTID,NHD_NUM,NHD_NAME,ANGLE,NHD_NUMTXT,pop15,crime2016,ucr1_4,ucr1_8,sqmile,nhblk15,pov_det,pov,per_pov,Shape_Leng,per_blk,BarrierCou,propCrime1,Shape_Le_1,Shape_Area
1,0,1,1,43,Franz Park,0.0,43 Franz Park,1284.25353452,150,2,88,0.39500323368,71.3623963907,1280.50563015,128.511270516,0.10035978561,4492.89210084,0.05556721821,0.0,94,4492.89210084,1023053.67865
2,1,2,2,29,Tiffany,0.0,29 Tiffany,900.822053911,207,21,97,0.21118017759,515.03838788,867.533340996,278.676026874,0.32122803091,3190.60603879,0.57174264955,3.0,93,3190.60603879,546954.149023
3,2,3,3,28,Botanical Heights,0.0,28 Botanical Heights,1642.53862717,110,11,61,0.41559264406,818.118475144,1633.51602574,407.662981362,0.24956166633,4480.57596423,0.49808172643,3.0,59,4480.57596423,1076380.0067
4,3,4,4,40,Kings Oak,0.0,40 Kings Oak,359.821319663,44,0,28,0.1688311318,33.2828236704,359.582762463,43.0365486095,0.11968468209,2816.34427145,0.092498198,0.0,30,2816.34427146,437270.623966
5,4,5,5,41,Cheltenham,0.0,41 Cheltenham,706.999049991,164,10,87,0.33164699989,65.2751643286,706.540201465,84.5592231572,0.11968069613,3766.45348869,0.09232708917,0.0,87,3766.45348869,858961.786437
6,5,6,6,42,Clayton-Tamm,0.0,42 Clayton-Tamm,1650.56289666,204,8,121,0.35049648277,100.636684873,1629.78379794,194.589772796,0.11939606532,3815.60623559,0.06097112996,0.0,136,3815.60623559,907781.722972
7,6,7,7,39,Forest Park South East,0.0,39 Forest Park South East,1840.15136398,568,64,321,0.64556616718,758.768196938,1571.07735621,442.902927855,0.28191032485,6145.18941081,0.41234009973,13.0,307,6145.1894108,1672008.69721
8,7,8,8,44,Hi-Pointe,0.0,44 Hi-Pointe,2186.22477434,139,3,74,0.27846494989,110.385813047,2149.96293234,256.612817012,0.11935685642,3684.84700818,0.05049152052,0.0,87,3684.84700818,721220.909258
9,8,9,9,36,Downtown West,0.0,36 Downtown West,5962.0719637,2437,168,942,1.14997059336,3016.93356326,5821.08976496,1800.34120523,0.30927906593,6977.35406152,0.50602099096,2.0,899,6977.35406152,2978410.16365
10,9,10,10,37,Midtown,0.0,37 Midtown,5160.18581159,741,55,390,1.35235074441,2356.07302834,3351.28220126,1559.24169354,0.46526720219,8512.75307162,0.45658685837,0.0,400,8512.75307162,3502572.34857
11,10,11,11,62,Columbus Square,0.0,62 Columbus Square,1350.0516588,478,74,223,0.18810658217,1249.64985749,1324.45480172,792.204929282,0.59813662818,2862.64989407,0.92563114111,2.0,198,2862.64989408,487193.811226
12,11,12,12,61,Carr Square,0.0,61 Carr Square,2204.05565003,581,91,236,0.41108214472,2014.70765543,2198.51675212,1166.76476427,0.53070542362,4600.56974455,0.91409110083,3.0,215,4600.56974454,1064697.86707
13,12,13,13,45,Wydown Skinker,0.0,45 Wydown Skinker,946.91185564,75,2,37,0.12111690435,123.434721748,943.645589175,225.886621082,0.23937654525,3742.90118901,0.13035502831,0.0,46,3742.901189,313691.342182
14,13,14,14,77,Covenant Blu-Grand Center,0.0,77 Covenant Blu-Grand Center,3597.96777028,522,69,283,0.5662758105,2074.89914638,2760.38243497,1524.87427112,0.55241413357,4921.22473818,0.57668641824,2.0,262,4921.22473818,1466647.61617
15,14,15,15,38,Central West End,0.0,38 Central West End,14916.2349756,1977,153,1184,1.89059068614,4441.80146612,13499.7780904,3559.5727742,0.26367639159,9801.77370649,0.29778301786,28.0,1186,9801.77370649,4896607.39799
16,15,16,16,63,Old North St. Louis,0.0,63 Old North St. Louis,1104.34076929,462,92,221,0.38979201676,909.710299721,968.10717597,468.993482647,0.48444376231,5100.56074305,0.82375868483,2.0,193,5100.56074304,1009556.68877
17,16,17,17,58,Vandeventer,0.0,58 Vandeventer,1979.88886556,284,48,151,0.47356673715,1751.1143134,1882.0731463,848.233811741,0.45069120369,4475.07279172,0.88445081129,1.0,128,4475.07279172,1226532.2185
18,17,18,18,60,St. Louis Place,0.0,60 St. Louis Place,2187.52516632,357,59,209,0.69201654994,1979.99157193,2046.05065951,953.130502835,0.46583915134,5966.23273564,0.90512859116,10.0,182,5966.23273564,1792314.63626
19,18,19,19,49,Visitation Park,0.0,49 Visitation Park,950.467823894,108,11,62,0.14822899289,887.738409218,941.284680794,309.719095374,0.32903870816,2544.5951946,0.93400153788,4.0,72,2544.59519459,383911.329143
20,19,20,20,54,Lewis Place,0.0,54 Lewis Place,1532.20260209,199,26,99,0.33288025187,1438.21304882,1500.08353498,694.805392463,0.46317780061,3829.37567979,0.93865722905,5.0,98,3829.37567979,862155.894406
21,20,21,21,53,Fountain Park,0.0,53 Fountain Park,1435.31214069,410,62,178,0.24126319367,1402.27414636,1429.15497433,666.577024779,0.46641339585,3466.32702637,0.9769820143,4.0,154,3466.32702637,624868.802999
22,21,22,22,59,Jeff Vanderlou,0.0,59 Jeff Vanderlou,5775.81151101,1184,213,608,1.24816160217,5515.94435015,5728.36108362,2663.38519807,0.46494715665,7967.18078924,0.95500767981,7.0,461,7967.18078923,3232723.70898
23,22,23,23,57,The Ville,0.0,57 The Ville,1536.87881081,308,64,165,0.41461225098,1527.44300954,1524.12488524,500.172009376,0.32816996443,4164.33171849,0.99386041294,0.0,129,4164.33171848,1073840.8003
24,23,24,24,51,Academy,0.0,51 Academy,2647.6595505,474,78,240,0.44760451289,2502.33583703,2586.15944693,1049.94566913,0.40598644078,4351.39188612,0.94511238673,5.0,193,4351.39188611,1159290.36638
25,24,25,25,65,Hyde Park,0.0,65 Hyde Park,1599.67689326,470,72,239,0.56652630024,1233.02893958,1520.53160757,823.612435897,0.54166084532,4993.84054675,0.77079874366,15.0,201,4993.84054675,1467296.38164
26,25,26,26,83,Fairground Park,0.0,83 Fairground Park,453.402715036,35,2,12,0.21446118032,445.336832858,453.402715036,164.118930284,0.36197165311,3333.78307909,0.98221033551,0.0,12,3333.78307909,555451.907093
27,26,27,27,48,West End,0.0,48 West End,7128.96949739,862,122,477,0.99774788818,5703.38198477,7083.72642693,2194.41958337,0.30978322017,7253.97992488,0.80002895045,16.0,424,7253.97992487,2584155.16716
28,27,28,28,56,Greater Ville,0.0,56 Greater Ville,4837.46140482,891,197,498,0.94982785381,4672.61274997,4796.34327451,1553.49212573,0.32389093875,9434.58275272,0.96592248681,4.0,360,9434.58275271,2460042.8479
29,28,29,29,67,Fairground Neighborhood,0.0,67 Fairground Neighborhood,648.689202053,356,74,169,0.31850803895,627.387764975,647.771236454,250.222804815,0.38628267316,4300.59399272,0.96716233751,4.0,120,4300.59399271,824932.033821
30,29,30,30,78,Hamilton Heights,0.0,78 Hamilton Heights,2336.25368914,687,127,346,0.48870195108,2281.84724001,2323.83402466,1023.18551991,0.44030060196,5144.05411218,0.97671209707,1.0,268,5144.05411217,1265732.24263
31,30,31,31,55,Kingsway East,0.0,55 Kingsway East,3002.42323433,595,133,315,0.48511003536,2954.47242238,2979.05704317,1287.99368234,0.43234945275,4859.86756133,0.98402929627,6.0,236,4859.86756133,1256429.22363
32,31,32,32,52,Kingsway West,0.0,52 Kingsway West,2651.94259435,485,90,269,0.41896819739,2540.51795734,2455.60970656,690.295989762,0.28110981477,4671.24933692,0.95798376736,1.0,219,4671.24933692,1085122.6497
33,32,33,33,2,Patch,0.0,2 Patch,4104.72942444,511,54,268,0.95217513192,1371.21558911,4079.17303884,1229.21037825,0.30133813068,6418.24842155,0.33405748524,0.0,248,6418.24842155,2466122.27031
