OBJECTID_1,FID_1,OBJECTID_2,OBJECTID,WARD10,pop15,crime2016,ucr1_4,ucr1_8,sqmile,nhblk15,pov_det,pov,per_pov,Shape_Leng,per_blk,BarrierCou,sq_mi,barr_mi,propCrime1,Shape_Le_1,Shape_Area
1,0,1,1,1,8693.44087732,1678,311,875,1.65500728764,8422.2784827,8467.17426349,2784.02655315,0.32880232135,13042.7483754,0.96880839262,7.0,1.65500728764,4.22958862615,702,13042.7483754,4286449.19694
2,1,2,2,2,12341.3552727,2206,324,1144,9.60665365529,10943.4794452,11073.9922539,3750.89687061,0.33871225341,44926.1027183,0.88673238906,5.0,9.60665365528,0.520472599452,996,44926.1027183,24881118.7441
3,2,3,3,3,7403.26666717,1974,351,992,2.37789495187,6732.06988509,7213.00760753,3190.1049199,0.44227111539,21172.3817165,0.90933775423,30.0,2.37789495187,12.6162007184,796,21172.3817164,6158719.65217
4,3,4,4,4,8574.04070002,1653,346,899,1.90867814214,8326.33956165,8476.22770799,3092.9881885,0.36490149805,12411.5649714,0.97111033793,4.0,1.90867847485,2.09569084197,686,12311.7856944,4943454.55567
5,4,5,5,5,8875.37029674,3169,376,1378,2.16879738143,7306.15366402,8536.30648962,4091.367011,0.47929007891,21344.6087766,0.82319423525,16.0,2.16879738143,7.37736043809,1251,21344.6087766,5617159.43089
6,5,6,6,6,13945.4345744,2043,205,1029,2.30778917532,7323.99960208,13019.6146406,3648.54703913,0.28023464134,20016.1238383,0.52518977182,24.0,2.30779174461,10.3995518903,1084,19572.6764267,5977153.1789
7,6,7,7,7,14886.0062589,5419,348,2232,3.63250873906,6060.71076707,14144.673847,3018.16223126,0.21337800107,20154.0503005,0.40714148991,9.0,3.63250942515,2.47762605589,2231,20057.4844241,9408156.22061
8,7,8,8,8,12245.3734874,1034,91,613,1.6488106189,4091.370431,12124.6377382,2369.76087659,0.19545003552,12413.0459855,0.33411560988,18.0,1.6488106189,10.9169602583,622,12413.0459855,4270399.89858
9,8,9,9,9,14305.8340523,1996,280,1094,2.65417625031,6219.04577249,14026.5596493,4644.05582922,0.33109015649,18982.7197372,0.43472095019,1.0,2.65417625031,0.376764730633,1031,18982.7197372,6874284.93015
10,9,10,10,10,11394.4820619,1110,68,576,2.25678955267,1765.64816794,11363.7133635,1817.86220797,0.15997079034,14171.7477333,0.15495642174,0.0,2.25678955267,0.0,595,14171.7477333,5845058.10819
11,10,11,11,11,13658.4043702,1685,158,951,3.09834552617,4145.74005919,13489.3711008,3546.49108154,0.26291003895,16324.0142234,0.30353033538,0.0,3.09834552617,0.0,922,16324.0142234,8024678.07346
12,11,12,12,12,11887.0121973,640,31,336,2.19844073199,544.597645645,11833.9952878,1339.69982039,0.11320773651,13830.2347699,0.04581451054,0.0,2.19844073199,0.0,351,13830.2347699,5693935.35638
13,12,13,13,13,11620.4541641,873,64,485,1.53261501102,1919.62864657,11586.2290841,2265.74077276,0.19555463269,12769.6946123,0.16519394332,0.0,1.53261501102,0.0,513,12769.6946123,3969454.65576
14,13,14,14,14,10328.4650233,1057,131,597,1.13518890215,1538.42843747,10096.9907845,1918.7784226,0.19003468098,8171.12755005,0.14895034586,0.0,1.13518890215,0.0,574,8171.12755004,2940125.75918
15,14,15,15,15,11582.0442647,1526,145,814,1.30997726702,3244.50648373,11488.3899796,2556.06456552,0.22249110363,9194.4861012,0.28013245413,1.0,1.30997726702,0.763372025741,773,9194.48610119,3392825.54595
16,15,16,16,16,13419.3172157,772,26,436,1.89637725688,637.044094255,13385.6429702,911.227363242,0.06807497894,10090.1704099,0.04747216896,2.0,1.89637725688,1.05464247303,460,10090.1704099,4911594.54739
17,16,17,17,17,12087.3782905,2042,172,1107,2.6443216304,4006.09883778,10819.4835917,3026.57070969,0.27973337951,15177.9866169,0.33142826687,18.0,2.64432163039,6.80703882354,1080,15177.9866169,6848761.58174
18,17,18,18,18,10416.4013563,1616,233,866,1.65058242423,7088.42907028,9457.84339273,3741.62432205,0.39561072928,15296.3676602,0.68050652311,19.0,1.65058242423,11.5110882808,778,15296.3676602,4274988.85332
19,18,19,19,19,10162.5794399,1717,190,882,1.97396107358,6271.48794963,8616.17757106,3982.49155195,0.46221094205,22576.5217511,0.61711576148,9.0,1.97396111059,4.55936033983,852,22558.7092123,5112535.80603
20,19,20,20,20,11312.4138265,2560,450,1340,1.18548906315,6232.80367015,11187.3795899,4869.49800972,0.43526707667,9087.27697338,0.55097026733,4.0,1.18548906314,3.37413488186,1199,9087.27697337,3070402.57808
21,20,21,21,21,6762.53343831,1517,251,749,1.54301083315,6578.31768995,6717.01818688,2324.7408265,0.34609714635,9668.01363761,0.9727593586,3.0,1.54302011881,1.94423906949,638,9575.31130827,3996403.76122
22,21,22,22,22,11658.5444974,2216,417,1146,2.78079185608,11039.697116,11338.01607,4515.97092893,0.39830345107,14287.9488126,0.94691898448,7.0,2.78079185608,2.51726859193,874,14287.9488126,7202217.84363
23,22,23,23,23,12478.3588249,547,30,313,1.74216610202,1300.91169456,12441.9575088,1325.16942002,0.1065081133,10756.1042659,0.1042534289,0.0,1.74216626446,0.0,326,10658.014404,4512189.9106
24,23,24,24,24,9779.70754722,960,41,520,2.38548762571,524.220315898,9722.15867741,1113.25587411,0.1145070669,13250.4910355,0.05360286219,0.0,2.38548762571,0.0,565,13250.4910355,6178384.58715
25,24,25,25,25,12539.3478277,1770,251,940,1.12636057774,5343.69413297,12469.4347374,4298.8991616,0.34475493494,9227.98731269,0.42615407168,0.0,1.12636057774,0.0,831,9227.98731269,2917260.50391
26,25,26,26,26,10262.4839492,1437,196,822,1.5300487222,8371.30486853,10133.0146133,2999.24522582,0.29598745687,12611.0540991,0.81571916799,28.0,1.5300487222,18.3000708368,754,12611.0540991,3962807.99821
27,26,27,27,27,12174.5088677,1574,260,838,2.30988547324,11850.8386206,12037.2929467,3983.41469375,0.33092280061,13856.9801158,0.97341410232,6.0,2.30988547324,2.59753137959,696,13856.9801158,5982575.91114
28,27,28,28,28,13055.4406504,1522,94,927,3.52003467364,3212.15488755,12787.6963459,2289.3455225,0.17902720401,18975.9265924,0.2460395611,23.0,3.52003467364,6.53402654589,977,18975.9265924,9116847.95151
