xcoord,ycoord,status,id,dateOccurred,yearOccurred,monthOccurred,dayOccurred,timeOccurred,month,year,ucr,crime,description,newCrime,unfounded,adjustment,count,district,neighborhood,ileadsaddress,ileadsstreet,cadaddress,cadstreet,locationName,locationComment,_source
-,-,U,3146,19jan2008,2008,1,19,2230,January,2008,Criminal Damage,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,Yes,No,No,1,4,0,200,S FOUTH,0,S 4TH,STADIUM EAST PARKING GARAGE,,January2008.dta
-,-,U,4492,28jan2008,2008,1,28,2250,January,2008,Robbery,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,Yes,No,No,1,0,0,3600,WESTFLORISSANT,3600,W FLORISSANT,,,January2008.dta
-,-,U,7076,15feb2008,2008,2,15,1900,February,2008,Burglary,51212,BURGLARY-RESIDENCE/NIT/FORCE ENT/UNOCCUPIED,Yes,No,No,1,1,0,120,W CATALAN ST ST LOUI,0,CATALAN,,APT 111,February2008.dta
-,-,U,7909,22feb2008,2008,2,22,150,February,2008,Narcotics,182999,DRUGS-POSSESSION/OTHR UNSPEC DRUG,Yes,No,No,1,0,0,4600,S.BROADWAY ST LOUIS,4600,S BROADWAY,,,February2008.dta
-,-,U,8336,25feb2008,2008,2,25,1430,February,2008,Narcotics,182250,DRUGS-POSSESSION/COCAINE,Yes,No,No,1,0,0,4800,BLOCK OF LEE ST LOUI,4800,LEE,,,February2008.dta
-,-,U,8628,27feb2008,2008,2,27,1430,February,2008,Other Assaults,91113,SIMPLE ASSAULT-ADULT/NO INJURY,Yes,No,No,1,0,0,300,S 18TH,0,S 18TH,METRO,METROLINK PLATFORM,February2008.dta
-,-,U,8629,27feb2008,2008,2,27,1430,February,2008,Other Assaults,91113,SIMPLE ASSAULT-ADULT/NO INJURY,Yes,No,No,1,0,0,300,S 18TH,0,S 18TH,METRO,METROLINK PLATFORM,February2008.dta
-,-,U,17121,16apr2008,2008,4,16,1529,April,2008,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,9,0,2900,SAMUEL SHEPARD,2900,SAMUEL SHEPARD,,,April2008.dta
-,-,U,17515,18apr2008,2008,4,18,1635,April,2008,Other Assaults,91113,SIMPLE ASSAULT-ADULT/NO INJURY,Yes,No,No,1,9,0,850,S GRAND,0,S GRAND,,ON GRAND AVE ABOVE THE METROLINK STA,April2008.dta
-,-,U,17947,20apr2008,2008,4,20,2245,April,2008,Larceny,64701,LARCENY-FROM MTR VEH UNDER $500,Yes,No,No,1,0,0,1031,HIGHLANDER PLAZA DR,1031,HIGHLANDER DR,HIGHLANDS LOFTS,,April2008.dta
