id,dateoccurred,yearoccurred,monthoccurred,dayoccurred,timeoccurred,month,year,ucr,crime,description,newcrime,unfounded,adjustment,count,district,neighborhood,ileadsaddress,ileadsstreet,cadaddress,cadstreet,locationname,locationcomment,xcoord,ycoord,_source,street1,street2
1249,08jan2008,2008,1,8,1156,January,2008,Larceny,63701,LARCENY-SHOPLIFT UNDER $500,Yes,No,No,1,0,0,0,4171 LINDELL BLVD /,4171,LINDELL,,,0,0,January2008.dta,4171 LINDELL BLVD ,
10293,08mar2008,2008,3,8,130,March,2008,Larceny,64701,LARCENY-FROM MTR VEH UNDER $500,Yes,No,No,1,4,0,0,GOODFELLOW / MCLAREN,0,GOODFELLOW,,,0,0,March2008.dta,GOODFELLOW , MCLAREN
10509,09mar2008,2008,3,9,1350,March,2008,Motor Vehicle Theft,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,Yes,No,No,1,0,0,0,INTERSTATE 70 / SHRE,0,I 70,,INTERSTATE 70/ SHREVE,0,0,March2008.dta,INTERSTATE 70 , SHRE
18505,23apr2008,2008,4,23,2200,April,2008,Motor Vehicle Theft,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,Yes,No,No,1,5,0,0,INTERSTATE 70 / ST.,0,I 70,,,0,0,April2008.dta,INTERSTATE 70 , ST.
22036,13may2008,2008,5,13,1910,May,2008,Criminal Damage,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,Yes,No,No,1,3,13,0,I-44 EASTBOUND AT KI,0,I 44,,,0,0,May2008.dta,I-44 EASTBOUND AT KI,
22323,15may2008,2008,5,15,1208,May,2008,Larceny,64701,LARCENY-FROM MTR VEH UNDER $500,Yes,No,No,1,4,36,137,METROLINK- UNION STA,1414,SPRUCE,UNION STATION PLATFORM,300 S 18TH UNION STATION,0,0,May2008.dta,METROLINK- UNION STA,
26142,03jun2008,2008,6,3,1500,June,2008,Aggravated Assault,43023,AGG.ASSAULT-OTH DANG WEP/CTZEN CHLD 3RD DEGREE,Yes,No,No,1,1,16,0,MINNSESOTA/ OSAGE,0,MINNESOTA,,,0,0,June2008.dta,MINNSESOTA, OSAGE
26751,06jun2008,2008,6,6,1900,June,2008,Robbery,31212,ROBBERY-HIGHWAY       /KNIFE USED/ATTEMPT,Yes,No,No,1,4,35,0,METROLINK - CONVENTI,0,N 6TH,CONVENTION CENTER METROLINK STATION,@METROLINK - CONVENTION CENTER,0,0,June2008.dta,METROLINK - CONVENTI,
26813,07jun2008,2008,6,7,200,June,2008,Motor Vehicle Theft,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,Yes,No,No,1,6,85,0,W FLORISSANT AVE / P,0,W FLORISSANT,,,0,0,June2008.dta,W FLORISSANT AVE , P
34767,19jul2008,2008,7,19,100,July,2008,Other Assaults,91113,SIMPLE ASSAULT-ADULT/NO INJURY,Yes,No,No,1,9,37,0,FOREST PARK @ VANDEV,0,FOREST PARK,MAGNOLIA S,,0,0,July2008.dta,FOREST PARK , VANDEV
