id,dateoccurred,yearoccurred,monthoccurred,dayoccurred,timeoccurred,month,year,ucr,crime,description,newcrime,unfounded,adjustment,count,district,neighborhood,ileadsaddress,ileadsstreet,cadaddress,cadstreet,locationname,locationcomment,xcoord,ycoord,_source,street1,street2,num
256797,15may2012,2012,5,15,1828,May,2012,Other Offense,265321,LEAVING SCENE OF ACCIDENT,Yes,No,No,1,9,28,0,I 44 EASTBOUND / KLE,,,,,0,0,May2012.dta,I 44 EASTBOUND , KLE,109
257101,17may2012,2012,5,17,1825,May,2012,Other Offense,265321,LEAVING SCENE OF ACCIDENT,Yes,No,No,1,6,73,0,HALLS FERRY CIR / RI,,,,,0,0,May2012.dta,HALLS FERRY CIR , RI,110
257362,19may2012,2012,5,19,1030,May,2012,Other Offense,265321,LEAVING SCENE OF ACCIDENT,Yes,No,No,1,2,82,0,TAMM / WELL DR,,GOVERNMENT,FOREST PARK,@ZOO,0,0,May2012.dta,TAMM , WELL DR,111
259971,04jun2012,2012,6,4,1,June,2012,Motor Vehicle Theft,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,Yes,No,No,1,0,0,0,HWY 44 WB / GRAVOIS,,PULASKI,,HWY 44 / HWY 55 SPLIT,0,0,June2012.dta,HWY 44 WB , GRAVOIS,112
260705,08jun2012,2012,6,8,2047,June,2012,Driving Under Influence,211000,DUI-DRVING WHILE INTOXICATED,Yes,No,No,1,0,0,0,3900 S BROADWAY / KE,,,,,0,0,June2012.dta,3900 S BROADWAY , KE,113
260899,10jun2012,2012,6,10,30,June,2012,Other Offense,265321,LEAVING SCENE OF ACCIDENT,Yes,No,No,1,4,0,0,WASHINGTON @ 8TH STR,,BESSIE,,,0,0,June2012.dta,WASHINGTON , 8TH STR,114
260970,10jun2012,2012,6,10,1406,June,2012,Other Offense,265321,LEAVING SCENE OF ACCIDENT,Yes,No,No,1,0,0,0,1-44 WESTBOUND / I-6,,,,,0,0,June2012.dta,1-44 WESTBOUND , I-6,115
261016,10jun2012,2012,6,10,1930,June,2012,Other Offense,265321,LEAVING SCENE OF ACCIDENT,Yes,No,No,1,6,0,0,I 70 @ N. BROADWAY,,,,EXIT RAMP,0,0,June2012.dta,I 70 , N. BROADWAY,116
262648,21jun2012,2012,6,21,1100,June,2012,Other Offense,265321,LEAVING SCENE OF ACCIDENT,Yes,No,No,1,3,0,0,ADELAIDE AVE / CARTE,,,,,0,0,June2012.dta,ADELAIDE AVE , CARTE,117
262955,23jun2012,2012,6,23,1415,June,2012,Larceny,69702,LARCENY-ALL OTHER UNDER $500,Yes,No,No,1,3,0,0,@TOWER GROVE PARK,,,TOWER GROVE PARK,PRIDE FEST,0,0,June2012.dta,,TOWER GROVE PARK,118
266588,15jul2012,2012,7,15,1313,July,2012,Other Offense,265999,SAFETY-OTHR UNSPEC SAFETY VIOLATION,Yes,No,No,1,1,17,0,OHIO/ S BROADWAY,,,,,0,0,July2012.dta,OHIO, S BROADWAY,119
266690,16jul2012,2012,7,16,230,July,2012,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,3,19,0,CHEROKEE/IOWA,,,,,0,0,July2012.dta,CHEROKEE,IOWA,120
266922,17jul2012,2012,7,17,1800,July,2012,Other Offense,265321,LEAVING SCENE OF ACCIDENT,Yes,No,No,1,4,35,0,CONVENTION / M L K,,,,,0,0,July2012.dta,CONVENTION , M L K,121
268952,31jul2012,2012,7,31,1100,July,2012,Aggravated Assault,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,Yes,No,No,1,1,1,0,HWY 55 NORTH / VIRGI,,ALLEN,,,0,0,July2012.dta,HWY 55 NORTH , VIRGI,122
268984,31jul2012,2012,7,31,1755,July,2012,Sex Offenses,178100,SEX OFFNS-EXPOSURE/LEWD&LACIV ACT,Yes,No,No,1,2,82,0,FOREST PARK - STEINB,,,,@FOREST PARK - STEINBERG,0,0,July2012.dta,FOREST PARK - STEINB,,123
270851,10aug2012,2012,8,10,2226,August,2012,Aggravated Assault,41013,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,Yes,No,No,1,1,17,0,SOUTH BOUND I-55,,,,,0,0,August2012.dta,SOUTH BOUND I-55,,124
271215,13aug2012,2012,8,13,1600,August,2012,Motor Vehicle Theft,71030,AUTO THEFT-PERM RETNT/JOY RIDE,Yes,No,No,1,2,82,1,WELLS DR / TAMM AVE,,GOVERNMENT,,,0,0,August2012.dta,WELLS DR , TAMM AVE,125
