id,dateoccurred,yearoccurred,monthoccurred,dayoccurred,timeoccurred,month,year,ucr,crime,description,newcrime,unfounded,adjustment,count,district,neighborhood,ileadsaddress,ileadsstreet,cadaddress,cadstreet,locationname,locationcomment,xcoord,ycoord,_source,num,useable,newAddress
7204,16feb2008,2008,2,16,1700,February,2008,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,0,0,0,UNKNOWN,10000,UNKNOWN,,UNKNOWN ADDRESS,0,0,February2008.dta,1,,
12602,21mar2008,2008,3,21,2125,March,2008,Aggravated Assault,43013,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,Yes,No,No,1,6,0,0,NATURAL BRIDGE & MAR,0,NATURAL BRIDGE,SHELL GAS STATION,,0,0,March2008.dta,2,,
14786,02apr2008,2008,4,2,2200,April,2008,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,4,0,0,UNKNOWN,0,UNKNOWN,UNKNOWN,@CENTRAL PATROL DIVISION,0,0,April2008.dta,3,,
16166,11apr2008,2008,4,11,1000,April,2008,Larceny,67701,LARCENY-FROM BUILDING UNDER $500,Yes,No,No,1,2,0,,UNKNOWN ST LOUIS,0,UNKNOWN,,1ST FL,0,0,April2008.dta,4,,
16748,14apr2008,2008,4,14,1430,April,2008,Criminal Damage,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,Yes,No,No,1,2,0,0,I 44 EASTBOUND,0,I 44,AT KINGSHIGHWAY,,0,0,April2008.dta,5,,
19381,29apr2008,2008,4,29,730,April,2008,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,1,0,0,UNKNOWN,10000,UNKNOWN,,LOCATION UNKNOWN,0,0,April2008.dta,6,,
20524,04may2008,2008,5,4,1800,May,2008,Larceny,65701,LARCENY-MTR VEH PARTS UNDER $500,Yes,No,No,1,0,0,0,UNKNOWN ST LOUIS,0,UNKNOWN,,@BUSCH STADIUM,0,0,May2008.dta,7,,
20997,07may2008,2008,5,7,1000,May,2008,Larceny,65701,LARCENY-MTR VEH PARTS UNDER $500,Yes,No,No,1,0,0,0,UNKNOWN,0,UNKNOWN,,@HEADQUARTERS,0,0,May2008.dta,8,,
30282,26jun2008,2008,6,26,1800,June,2008,Larceny,64701,LARCENY-FROM MTR VEH UNDER $500,Yes,No,No,1,0,0,0,UNKNOWN,9999,UNKNOWN,,@ RIVERVIEW DRIVE,0,0,June2008.dta,9,,
30562,28jun2008,2008,6,28,300,June,2008,Aggravated Assault,44013,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN ADLT 3RD DEGRE",Yes,No,No,1,0,0,0,UNKNOWN,9999,UNKNOWN,,UNKNOWN,0,0,June2008.dta,10,,
