id,dateoccurred,yearoccurred,monthoccurred,dayoccurred,timeoccurred,month,year,ucr,crime,description,newcrime,unfounded,adjustment,count,district,neighborhood,ileadsaddress,ileadsstreet,cadaddress,cadstreet,locationname,locationcomment,xcoord,ycoord,_source,num,useable,newAddress
151996,19jun2010,2010,6,19,1900,June,2010,Larceny,65701,LARCENY-MTR VEH PARTS UNDER $500,Yes,No,No,1,6,0,9999,UNKNOWN,,PENROSE,,UNKNOWN,0,0,June2010.dta,63,,
159169,19dec2009,2009,12,19,340,July,2010,Other Offense,266510,PUBLIC ORDER-TRESPASSING,Yes,No,No,1,4,35,999,N 2ND ST,,2ND,LUMIERE CASINO,,0,0,July2010.dta,64,,
159210,16mar2010,2010,3,16,200,August,2010,Larceny,64711,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,No,No,Yes,1,4,36,25,,,PLAZA,,: APT 814,0,0,August2010.dta,65,,
159470,26jul2010,2010,7,26,1700,August,2010,Motor Vehicle Theft,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,Yes,No,No,1,2,11,0,I 44 EASTBOUND,,,,HAMPTON AVE / I 44 EASTBOUND,0,0,August2010.dta,66,,
159534,30jul2010,2010,7,30,2320,August,2010,Burglary,51212,BURGLARY-RESIDENCE/NIT/FORCE ENT/UNOCCUPIED,No,No,Yes,1,6,71,4567,,,DURANT,,TWO FAMILIY FLAT,0,0,August2010.dta,67,,
162190,17aug2010,2010,8,17,1608,August,2010,Other Assaults,91123,SIMPLE ASSAULT-CHILD/NO INJURY,Yes,No,No,1,0,0,9999,UNKNOWN,,ACME,,SCHOOL BUS,0,0,August2010.dta,68,,
164965,01sep2010,2010,9,1,2130,September,2010,Stolen Property,130000,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",Yes,No,No,1,0,0,0,UNKNOWN,,OHIO,ST LOUIS COUNTY PD,,0,0,September2010.dta,69,,
169660,23may2010,2010,5,23,500,October,2010,Larceny,69602,"LARCENY-ALL OTHER $500 - $24,999",No,No,Yes,1,6,72,,,,,,:@ CITY HOPE BIBLE CHURCH,0,0,October2010.dta,70,,
169970,29sep2010,2010,9,29,1700,October,2010,Stolen Property,130000,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",Yes,No,No,1,0,0,0,UNKNOWN,,,HAZELWOOD POLIE DEPT,,0,0,October2010.dta,71,,
173149,21oct2010,2010,10,21,1,October,2010,Larceny,65701,LARCENY-MTR VEH PARTS UNDER $500,Yes,No,No,1,0,0,0,UNKNOWN,,MCPHERSON,,CITY STREET,0,0,October2010.dta,72,,
175754,04nov2010,2010,11,4,2200,November,2010,Criminal Damage,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,Yes,No,No,1,0,0,0,UNKNOWN,,TOWER GROVE,,WITHIN THE BOUNDRIES OF THE CITY OF,0,0,November2010.dta,73,,
178506,23nov2010,2010,11,23,800,November,2010,Larceny,65601,"LARCENY-MTR VEH PARTS $500 - $24,999",Yes,No,No,1,2,82,0,WELLS DR,,GOVERNMENT,,@ZOO,0,0,November2010.dta,74,,
179605,23nov2010,2010,11,23,126,December,2010,Other Offense,263120,OBSTRUCT GOVRN OP-FALSE REPORT,No,No,Yes,1,1,80,,GRAND LOUGHBOROUGH,,,,PARK,0,0,December2010.dta,75,,
183246,28dec2010,2010,12,28,1420,December,2010,Larceny,64701,LARCENY-FROM MTR VEH UNDER $500,Yes,No,No,1,3,21,,BUSCH PLACE,,,ANHEISER BUSCH,#1 BUSCH PLACE,0,0,December2010.dta,76,,
187274,30jan2011,2011,1,30,430,January,2011,Other Assaults,91113,SIMPLE ASSAULT-ADULT/NO INJURY,Yes,No,No,1,0,0,0,MICHIGAN,,MINNESOTA,,TENNESSEE OR MICHIGAN,0,0,January2011.dta,77,,
187406,20may2010,2010,5,20,2130,January,2011,Larceny,64701,LARCENY-FROM MTR VEH UNDER $500,No,No,Yes,1,2,82,,,,,,: @FOREST PARK - JEFFERSON LAKE,0,0,January2011.dta,78,,
187423,23aug2010,2010,8,23,930,January,2011,Burglary,51312,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,No,No,Yes,1,5,65,3829,,,25TH,,:APT 206,0,0,January2011.dta,79,,
190497,24feb2011,2011,2,24,100,February,2011,Larceny,64701,LARCENY-FROM MTR VEH UNDER $500,Yes,No,No,1,5,68,0,OFALLON PARK,,TENNESSEE,,NEAR THE BOAT HOUSE,0,0,February2011.dta,80,,
191204,01jan2011,2011,1,1,100,March,2011,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,0,0,0,UNKNOWN,,CLARK,,UNKNOWN,0,0,March2011.dta,81,,
191226,01feb2011,2011,2,1,1,March,2011,Forgery and Counterfeiting,101000,FORGERY,Yes,No,No,1,0,0,0,UNKNOWN,,UNKNOWN,,LOCATION UNKNOWN,0,0,March2011.dta,82,,
191250,05feb2011,2011,2,5,2200,March,2011,Larceny,67701,LARCENY-FROM BUILDING UNDER $500,No,No,Yes,1,4,35,999,2ND,,2ND,LUMIERE CASINO,,0,0,March2011.dta,83,,
195642,06aug2010,2010,8,6,1840,March,2011,Other Offense,263120,OBSTRUCT GOVRN OP-FALSE REPORT,No,No,Yes,1,8,58,,,,,STOP AND SAVE,: NOW AT BARNES-JEWISH HOSP,0,0,March2011.dta,84,,
