id,dateoccurred,yearoccurred,monthoccurred,dayoccurred,timeoccurred,month,year,ucr,crime,description,newcrime,unfounded,adjustment,count,district,neighborhood,ileadsaddress,ileadsstreet,cadaddress,cadstreet,locationname,locationcomment,xcoord,ycoord,_source
120,01jan2008,2008,1,1,1400,January,2008,Larceny,65701,LARCENY-MTR VEH PARTS UNDER $500,Yes,No,No,1,1,0,0,UNKNOWN,0,UNKNOWN,,,0,0,January2008.dta
244,02jan2008,2008,1,2,1400,January,2008,Aggravated Assault,43012,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE,Yes,No,No,1,0,0,0,UNKNOWN LOCATION,0,UNKNOWN,,,0,0,January2008.dta
1478,09jan2008,2008,1,9,1900,January,2008,Larceny,65701,LARCENY-MTR VEH PARTS UNDER $500,Yes,No,No,1,6,0,9999,UNKNOWN,9999,UNKNOWN,,,0,0,January2008.dta
2061,12jan2008,2008,1,12,2145,January,2008,Other Assaults,91124,"ASSAULT, CHILD, AGE 16 AND UNDR-DOMESTIC",Yes,No,No,1,0,0,0,UNKNOWN,0,UNKNOWN,,,0,0,January2008.dta
3171,20jan2008,2008,1,20,105,January,2008,Robbery,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,Yes,No,No,1,0,0,,,0,W FLORISSANT,,,0,0,January2008.dta
3243,20jan2008,2008,1,20,1800,January,2008,Larceny,65701,LARCENY-MTR VEH PARTS UNDER $500,Yes,No,No,1,3,0,9999,UNKNOWN,9999,UNKNOWN,,,0,0,January2008.dta
3564,22jan2008,2008,1,22,2000,January,2008,Larceny,65701,LARCENY-MTR VEH PARTS UNDER $500,Yes,No,No,1,1,0,0,UNKNOWN,0,UNKNOWN,,,0,0,January2008.dta
3849,24jan2008,2008,1,24,2100,January,2008,Larceny,65701,LARCENY-MTR VEH PARTS UNDER $500,Yes,No,No,1,1,0,9999,UNKNOWN ST LOUIS,9999,UNKNOWN,,,0,0,January2008.dta
4992,01feb2008,2008,2,1,600,February,2008,Larceny,65701,LARCENY-MTR VEH PARTS UNDER $500,Yes,No,No,1,5,0,0,UNKNOWN,0,UNKNOWN,,,0,0,February2008.dta
5062,01feb2008,2008,2,1,1900,February,2008,Larceny,65701,LARCENY-MTR VEH PARTS UNDER $500,Yes,No,No,1,3,0,9999,UNKNOWN ST LOUIS,9999,UNKNOWN,,,0,0,February2008.dta
5164,02feb2008,2008,2,2,1500,February,2008,Larceny,69702,LARCENY-ALL OTHER UNDER $500,Yes,No,No,1,0,0,99999,UNKNOWN,0,UNKNOWN,,,0,0,February2008.dta
5434,03feb2008,2008,2,3,2200,February,2008,Larceny,65701,LARCENY-MTR VEH PARTS UNDER $500,Yes,No,No,1,2,0,9999,UNKNOWN,9999,UNKNOWN,,,0,0,February2008.dta
5474,04feb2008,2008,2,4,420,February,2008,Other Assaults,91113,SIMPLE ASSAULT-ADULT/NO INJURY,Yes,No,No,1,0,0,0,UNKNOWN ST LOUIS,0,UNKNOWN,,,0,0,February2008.dta
5503,04feb2008,2008,2,4,1000,February,2008,Larceny,65701,LARCENY-MTR VEH PARTS UNDER $500,Yes,No,No,1,3,0,9999,UNKNOWN ST LOUIS,9999,UNKNOWN,,,0,0,February2008.dta
6117,08feb2008,2008,2,8,1900,February,2008,Larceny,65701,LARCENY-MTR VEH PARTS UNDER $500,Yes,No,No,1,5,0,9999,UNKNOWN,9999,UNKNOWN,,,0,0,February2008.dta
6882,14feb2008,2008,2,14,1300,February,2008,Sex Offenses,172100,SEX OFFNS-SODOMY/FORCIBLE,Yes,No,No,1,0,0,0,UNKNOWN ST LOUIS,0,UNKNOWN,,,0,0,February2008.dta
6883,14feb2008,2008,2,14,1300,February,2008,Sexual Assault,23000,RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST,No,No,Yes,1,0,0,0,UNKNOWN ST LOUIS,0,UNKNOWN,,,0,0,February2008.dta
7415,18feb2008,2008,2,18,900,February,2008,Larceny,65701,LARCENY-MTR VEH PARTS UNDER $500,Yes,No,No,1,6,0,9999,UNKNOWN,9999,UNKNOWN,,,0,0,February2008.dta
7764,20feb2008,2008,2,20,1900,February,2008,Larceny,67701,LARCENY-FROM BUILDING UNDER $500,Yes,No,No,1,5,0,0,UNKNOWN,0,UNKNOWN,,,0,0,February2008.dta
7885,21feb2008,2008,2,21,2000,February,2008,Aggravated Assault,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,Yes,No,No,1,0,0,0,UNKNOWN ST LOUIS,0,UNKNOWN,,,0,0,February2008.dta
