id,dateoccurred,yearoccurred,monthoccurred,dayoccurred,timeoccurred,month,year,ucr,crime,description,newcrime,unfounded,adjustment,count,district,neighborhood,ileadsaddress,ileadsstreet,cadaddress,cadstreet,locationname,locationcomment,xcoord,ycoord,_source
442157,22jan2016,2016,1,22,1100,January,2016,Criminal Damage,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,Yes,No,No,1,0,0,0,UNKNOWN,,SKINKER,,,0,0,January2016.dta
442216,22jan2016,2016,1,22,1950,January,2016,Aggravated Assault,41013,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,Yes,No,No,1,0,0,0,UNKNOWN,,,,,0,0,January2016.dta
442409,24jan2016,2016,1,24,1800,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,0,0,0,UNKOWN,,UTAH,,,0,0,January2016.dta
442764,28jan2016,2016,1,28,0,January,2016,Frauds,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,Yes,No,No,1,0,0,0,UNKNOWN,,OLIVE,,,0,0,January2016.dta
442878,29jan2016,2016,1,29,0,January,2016,Frauds,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,Yes,No,No,1,0,0,0,UNKNOWN,,OLIVE,,,0,0,January2016.dta
443550,11jan2016,2016,1,11,0,February,2016,Frauds,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,Yes,No,No,1,0,0,0,UNKNOWN,,OLIVE,,,0,0,February2016.dta
443569,15jan2016,2016,1,15,2050,February,2016,Other Assaults,91113,SIMPLE ASSAULT-ADULT/NO INJURY,Yes,No,No,1,2,14,3600,,,HEREFORD,,,0,0,February2016.dta
443584,20jan2016,2016,1,20,0,February,2016,Frauds,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,Yes,No,No,1,0,0,0,UNKNOWN,,OLIVE,,,0,0,February2016.dta
443629,25jan2016,2016,1,25,1500,February,2016,Larceny,65701,LARCENY-MTR VEH PARTS UNDER $500,Yes,No,No,1,0,0,0,UNKNOWN,,KRAFT,,,0,0,February2016.dta
443977,03feb2016,2016,2,3,0,February,2016,Frauds,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,Yes,No,No,1,0,0,0,UNKNOWN,,OLIVE,,,0,0,February2016.dta
444202,05feb2016,2016,2,5,0,February,2016,Frauds,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,Yes,No,No,1,0,0,0,UNKNOWN,,OLIVE,,,0,0,February2016.dta
444582,08feb2016,2016,2,8,0,February,2016,Frauds,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,Yes,No,No,1,0,0,0,UNKNOWN,,OLIVE,,,0,0,February2016.dta
444583,08feb2016,2016,2,8,0,February,2016,Frauds,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,Yes,No,No,1,0,0,0,UNKNOWN,,OLIVE,,,0,0,February2016.dta
444706,09feb2016,2016,2,9,948,February,2016,Frauds,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,Yes,No,No,1,0,0,0,UNKNOWN,,GOENER,,,0,0,February2016.dta
444798,10feb2016,2016,2,10,1218,February,2016,Frauds,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,Yes,No,No,1,0,0,0,UNKNOWN,,OHIO,,,0,0,February2016.dta
445041,13feb2016,2016,2,13,0,February,2016,Frauds,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,Yes,No,No,1,0,0,0,UNKNOWN,,OLIVE,,,0,0,February2016.dta
445213,14feb2016,2016,2,14,2100,February,2016,Motor Vehicle Theft,71030,AUTO THEFT-PERM RETNT/JOY RIDE,Yes,No,No,1,0,0,0,UNKNOWN,,7TH,,,0,0,February2016.dta
445226,15feb2016,2016,2,15,0,February,2016,Frauds,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,Yes,No,No,1,0,0,0,UNKNOWN,,OLIVE,,,0,0,February2016.dta
445339,16feb2016,2016,2,16,0,February,2016,Frauds,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,Yes,No,No,1,0,0,0,UNKNOWN,,OLIVE,,,0,0,February2016.dta
445340,16feb2016,2016,2,16,0,February,2016,Frauds,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,Yes,No,No,1,0,0,0,UNKNOWN,,OLIVE,,,0,0,February2016.dta
445341,16feb2016,2016,2,16,0,February,2016,Frauds,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,Yes,No,No,1,0,0,0,UNKNOWN,,OLIVE,,,0,0,February2016.dta
445564,18feb2016,2016,2,18,0,February,2016,Frauds,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,Yes,No,No,1,0,0,0,UNKNOWN,,OLIVE,,,0,0,February2016.dta
446006,22feb2016,2016,2,22,0,February,2016,Frauds,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,Yes,No,No,1,0,0,0,UNKNOWN,,OLIVE,,,0,0,February2016.dta
446418,26feb2016,2016,2,26,0,February,2016,Frauds,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,Yes,No,No,1,0,0,0,UNKNOWN,,OLIVE,,,0,0,February2016.dta
446719,29feb2016,2016,2,29,0,February,2016,Frauds,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,Yes,No,No,1,0,0,0,UNKNOWN,,OLIVE,,,0,0,February2016.dta
446923,22jan2016,2016,1,22,2152,March,2016,Stolen Property,130000,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",No,No,No,1,6,74,,,,,,,0,0,March2016.dta
447027,24feb2016,2016,2,24,0,March,2016,Frauds,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,Yes,No,No,1,0,0,0,UNKNOWN,,OLIVE,,,0,0,March2016.dta
447056,27feb2016,2016,2,27,0,March,2016,Frauds,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,Yes,No,No,1,0,0,0,UNKNOWN,,OLIVE,,,0,0,March2016.dta
447063,27feb2016,2016,2,27,1107,March,2016,Other Assaults,92000,SIMPLE ASSAULT-HARRASSMENT,No,No,No,1,3,21,1200,,,ALLEN MARKET,,,0,0,March2016.dta
447084,29feb2016,2016,2,29,0,March,2016,Frauds,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,Yes,No,No,1,0,0,0,UNKNOWN,,OLIVE,,,0,0,March2016.dta
447537,05mar2016,2016,3,5,0,March,2016,Frauds,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,Yes,No,No,1,0,0,0,UNKNOWN,,OLIVE,,,0,0,March2016.dta
447774,07mar2016,2016,3,7,0,March,2016,Frauds,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,Yes,No,No,1,0,0,0,UNKNOWN,,OLIVE,,,0,0,March2016.dta
447775,07mar2016,2016,3,7,0,March,2016,Frauds,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,Yes,No,No,1,0,0,0,UNKNOWN,,PARKWOOD,,,0,0,March2016.dta
448020,09mar2016,2016,3,9,0,March,2016,Frauds,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,Yes,No,No,1,0,0,0,UNKNOWN,,OLIVE,,,0,0,March2016.dta
448126,09mar2016,2016,3,9,2205,March,2016,Frauds,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,Yes,No,No,1,0,0,0,UNKNOWN,,UNKNOWN,,,0,0,March2016.dta
