id,dateOccurred,yearOccurred,monthOccurred,dayOccurred,timeOccurred,month,year,ucr,crime,description,newCrime,unfounded,adjustment,count,district,neighborhood,ileadsaddress,ileadsstreet,cadaddress,cadstreet,locationName,locationComment,xcoord,ycoord,_source
120,01jan2008,2008,1,1,1400,January,2008,Larceny,65701,LARCENY-MTR VEH PARTS UNDER $500,Yes,No,No,1,1,0,0,UNKNOWN,0,UNKNOWN,,,0,0,January2008.dta
244,02jan2008,2008,1,2,1400,January,2008,Aggravated Assault,43012,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE,Yes,No,No,1,0,0,0,UNKNOWN LOCATION,0,UNKNOWN,,,0,0,January2008.dta
872,06jan2008,2008,1,6,110,January,2008,Larceny,69602,"LARCENY-ALL OTHER $500 - $24,999",Yes,No,No,1,0,0,1416,N BROADWAY,1416,N BROADWAY,GREAT WESTERN BAG COMPANY,,0,0,January2008.dta
1249,08jan2008,2008,1,8,1156,January,2008,Larceny,63701,LARCENY-SHOPLIFT UNDER $500,Yes,No,No,1,0,0,0,4171 LINDELL BLVD /,4171,LINDELL,,,0,0,January2008.dta
1478,09jan2008,2008,1,9,1900,January,2008,Larceny,65701,LARCENY-MTR VEH PARTS UNDER $500,Yes,No,No,1,6,0,9999,UNKNOWN,9999,UNKNOWN,,,0,0,January2008.dta
2061,12jan2008,2008,1,12,2145,January,2008,Other Assaults,91124,"ASSAULT, CHILD, AGE 16 AND UNDR-DOMESTIC",Yes,No,No,1,0,0,0,UNKNOWN,0,UNKNOWN,,,0,0,January2008.dta
2758,17jan2008,2008,1,17,1300,January,2008,Other Assaults,92000,SIMPLE ASSAULT-HARRASSMENT,Yes,No,No,1,4,0,1114,MARKET,1114,MARKET,MEL CARNAHAN BUILDING,OFFICE OF THE CIRCUIT ATTORNEY,0,0,January2008.dta
3146,19jan2008,2008,1,19,2230,January,2008,Criminal Damage,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,Yes,No,No,1,4,0,200,S FOUTH,0,S 4TH,STADIUM EAST PARKING GARAGE,,0,0,January2008.dta
3171,20jan2008,2008,1,20,105,January,2008,Robbery,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,Yes,No,No,1,0,0,,,0,W FLORISSANT,,,0,0,January2008.dta
3243,20jan2008,2008,1,20,1800,January,2008,Larceny,65701,LARCENY-MTR VEH PARTS UNDER $500,Yes,No,No,1,3,0,9999,UNKNOWN,9999,UNKNOWN,,,0,0,January2008.dta
3564,22jan2008,2008,1,22,2000,January,2008,Larceny,65701,LARCENY-MTR VEH PARTS UNDER $500,Yes,No,No,1,1,0,0,UNKNOWN,0,UNKNOWN,,,0,0,January2008.dta
3849,24jan2008,2008,1,24,2100,January,2008,Larceny,65701,LARCENY-MTR VEH PARTS UNDER $500,Yes,No,No,1,1,0,9999,UNKNOWN ST LOUIS,9999,UNKNOWN,,,0,0,January2008.dta
4492,28jan2008,2008,1,28,2250,January,2008,Robbery,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,Yes,No,No,1,0,0,3600,WESTFLORISSANT,3600,W FLORISSANT,,,0,0,January2008.dta
4844,14jan2008,2008,1,14,1200,February,2008,Frauds,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,Yes,No,No,1,4,0,400,S 14TH ST,0,S 14TH,,,0,0,February2008.dta
4992,01feb2008,2008,2,1,600,February,2008,Larceny,65701,LARCENY-MTR VEH PARTS UNDER $500,Yes,No,No,1,5,0,0,UNKNOWN,0,UNKNOWN,,,0,0,February2008.dta
5062,01feb2008,2008,2,1,1900,February,2008,Larceny,65701,LARCENY-MTR VEH PARTS UNDER $500,Yes,No,No,1,3,0,9999,UNKNOWN ST LOUIS,9999,UNKNOWN,,,0,0,February2008.dta
5164,02feb2008,2008,2,2,1500,February,2008,Larceny,69702,LARCENY-ALL OTHER UNDER $500,Yes,No,No,1,0,0,99999,UNKNOWN,0,UNKNOWN,,,0,0,February2008.dta
5434,03feb2008,2008,2,3,2200,February,2008,Larceny,65701,LARCENY-MTR VEH PARTS UNDER $500,Yes,No,No,1,2,0,9999,UNKNOWN,9999,UNKNOWN,,,0,0,February2008.dta
5474,04feb2008,2008,2,4,420,February,2008,Other Assaults,91113,SIMPLE ASSAULT-ADULT/NO INJURY,Yes,No,No,1,0,0,0,UNKNOWN ST LOUIS,0,UNKNOWN,,,0,0,February2008.dta
5503,04feb2008,2008,2,4,1000,February,2008,Larceny,65701,LARCENY-MTR VEH PARTS UNDER $500,Yes,No,No,1,3,0,9999,UNKNOWN ST LOUIS,9999,UNKNOWN,,,0,0,February2008.dta
