id,dateOccurred,yearOccurred,monthOccurred,dayOccurred,timeOccurred,month,year,ucr,crime,description,newCrime,unfounded,adjustment,count,district,neighborhood,ileadsaddress,ileadsstreet,cadaddress,cadstreet,locationName,locationComment,xcoord,ycoord,_source
439695,01jan2016,2016,1,1,1,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,5,58,3900,WEST BELLE PL,,WEST BELLE,,,0,0,January2016.dta
439733,01jan2016,2016,1,1,300,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,6,68,4300,E FARLIN AVE,,RED BUD,,,0,0,January2016.dta
439745,01jan2016,2016,1,1,545,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,5,78,5400,RIDGE AVE,,,,,0,0,January2016.dta
439919,02jan2016,2016,1,2,1850,January,2016,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,3,19,3400,MICHIGAN AVE,,MICHIGAN,,,0,0,January2016.dta
439929,02jan2016,2016,1,2,2000,January,2016,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,3,16,3900,S GRAND BLVD,,GRAND,SHELL/CONOCO STATION,REAR PARKING LOT,0,0,January2016.dta
439976,03jan2016,2016,1,3,454,January,2016,Other Offense,266999,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,Yes,No,No,1,3,33,1425,PARK,,PARK,,,0,0,January2016.dta
439990,03jan2016,2016,1,3,1110,January,2016,Sexual Assault,23000,RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST,Yes,No,No,1,6,71,4600,EMERSON AVE,,EMERSON,,,0,0,January2016.dta
439992,03jan2016,2016,1,3,1130,January,2016,Motor Vehicle Theft,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,Yes,No,No,1,6,68,0,FAIR AVE / W. FLORISSANT AVE,,SULLIVAN,,,0,0,January2016.dta
440028,03jan2016,2016,1,3,1800,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,6,69,4100,N EUCLID AVE,,EUCLID,,,0,0,January2016.dta
440221,05jan2016,2016,1,5,1400,January,2016,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,3,24,2600,GRAVOIS AVE,,GRAVOIS,,,0,0,January2016.dta
440256,05jan2016,2016,1,5,1850,January,2016,Sexual Assault,23000,RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST,Yes,No,No,1,4,37,3700,LINDELL BLVD,,,SAINT LOUIS UNIVERSITY,,0,0,January2016.dta
440262,05jan2016,2016,1,5,1950,January,2016,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,4,36,1200,LOCUST ST,,,CHRIST CHURCH CATHEDRAL,,0,0,January2016.dta
440267,05jan2016,2016,1,5,2027,January,2016,Other Assaults,91114,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",Yes,No,No,1,5,48,5518,JULIAN,,,,REAR PARKING LOT,0,0,January2016.dta
440466,07jan2016,2016,1,7,1200,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,5,55,1900,N EUCLID AVE,,ETZEL,,,0,0,January2016.dta
440530,07jan2016,2016,1,7,2227,January,2016,Other Offense,266999,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,Yes,No,No,1,4,36,201,N 17TH,,N 17TH,,,0,0,January2016.dta
440531,07jan2016,2016,1,7,2227,January,2016,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,4,36,200,N 17TH ST,,17TH,,,0,0,January2016.dta
440552,08jan2016,2016,1,8,622,January,2016,Criminal Damage,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,Yes,No,No,1,0,0,0,UNKNOWN,,UNKNOWN,UNKNOWN,,0,0,January2016.dta
440685,09jan2016,2016,1,9,100,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,4,35,900,N 1ST ST,,CLARK,HOTEL LUMIERE,,0,0,January2016.dta
440687,09jan2016,2016,1,9,155,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,6,69,4900,CARTER AVE,,CARTER,,,0,0,January2016.dta
440731,09jan2016,2016,1,9,1700,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,3,25,2800,S COMPTON AVE,,DUNNICA,,,0,0,January2016.dta
440755,09jan2016,2016,1,9,2200,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,6,74,800,GUSTAV AVE,,BROADWAY,,,0,0,January2016.dta
440765,10jan2016,2016,1,10,1,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,3,19,3700,MINNESOTA AVE,,MINNESOTA,,,0,0,January2016.dta
440811,10jan2016,2016,1,10,1120,January,2016,Other Offense,266999,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,Yes,No,No,1,4,59,1400,N GRAND,,N GRAND,,,0,0,January2016.dta
440904,11jan2016,2016,1,11,1028,January,2016,Larceny,63701,LARCENY-SHOPLIFT UNDER $500,Yes,No,No,1,2,7,60,HAMPTON VILLAGE,,,SCHNUCKS,,0,0,January2016.dta
440912,11jan2016,2016,1,11,1145,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,5,47,5600,PERSHING AVE,,PERSHING,,APT 39,0,0,January2016.dta
440931,11jan2016,2016,1,11,1325,January,2016,Sex Offenses,178100,SEX OFFNS-EXPOSURE/LEWD&LACIV ACT,Yes,No,No,1,2,88,0,HAMPTON AVE / JAMIESON AVE,,,WILLMORE PARK,WILLMORE PARK,0,0,January2016.dta
440939,11jan2016,2016,1,11,1425,January,2016,Sex Offenses,178100,SEX OFFNS-EXPOSURE/LEWD&LACIV ACT,Yes,No,No,1,2,88,0,HAMPTON AVE / JAMIESON AVE,,,WILLMORE PARK,WILLMORE PARK RESTROOM,0,0,January2016.dta
440993,11jan2016,2016,1,11,2240,January,2016,Other Offense,266999,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,Yes,No,No,1,4,62,1128,N 9TH,,N 9TH,,,0,0,January2016.dta
441038,12jan2016,2016,1,12,1200,January,2016,Sex Offenses,178100,SEX OFFNS-EXPOSURE/LEWD&LACIV ACT,Yes,No,No,1,2,88,0,HAMPTON AVE / JAMIESON AVE,,,WILLMORE PARK,WILLMORE PARK,0,0,January2016.dta
441111,13jan2016,2016,1,13,1,January,2016,Sex Offenses,171300,SEX OFFNS-STATUATORY RAPE/SECOND,Yes,No,No,1,5,46,6000,PERSHING AVE,,PERSHING,,,0,0,January2016.dta
441118,13jan2016,2016,1,13,200,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,4,36,1600,LOCUST ST,,,,,0,0,January2016.dta
441126,13jan2016,2016,1,13,730,January,2016,Sex Offenses,175400,SEX OFFNS-SX MISCONDUCT/SECOND,Yes,No,No,1,5,38,4900,BARNES JEWISH HOSPITAL PLZ,,,BARNES JEWISH HOSPITAL,,0,0,January2016.dta
441133,13jan2016,2016,1,13,1045,January,2016,Sex Offenses,178100,SEX OFFNS-EXPOSURE/LEWD&LACIV ACT,Yes,No,No,1,2,88,0,HAMPTON AVE / JAMIESON AVE,,,WILLMORE PARK,WILLMORE PARK,0,0,January2016.dta
441143,13jan2016,2016,1,13,1240,January,2016,Sex Offenses,178100,SEX OFFNS-EXPOSURE/LEWD&LACIV ACT,Yes,No,No,1,2,88,0,HAMPTON AVE / JAMIESON AVE,,,WILLMORE PARK,WILLMORE PARK,0,0,January2016.dta
441162,13jan2016,2016,1,13,1510,January,2016,Sex Offenses,178100,SEX OFFNS-EXPOSURE/LEWD&LACIV ACT,Yes,No,No,1,2,88,0,HAMPTON AVE / JAMIESON AVE,,,WILLMORE PARK,WILLMORE PARK,0,0,January2016.dta
441173,13jan2016,2016,1,13,1652,January,2016,Narcotics,182130,DRUGS-POSSESSION/HEROIN,Yes,No,No,1,0,0,1562,WELLSTON AVE,,DR MARTIN LUTHER KING,,,0,0,January2016.dta
441206,13jan2016,2016,1,13,2110,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,5,48,5900,CATES AVE,,CATES,,,0,0,January2016.dta
441285,14jan2016,2016,1,14,1400,January,2016,Sex Offenses,175400,SEX OFFNS-SX MISCONDUCT/SECOND,Yes,No,No,1,5,38,100,N NEWSTEAD AVE,,WEST PINE,SHAPIROS MARKET,,0,0,January2016.dta
441289,14jan2016,2016,1,14,1440,January,2016,Sex Offenses,175400,SEX OFFNS-SX MISCONDUCT/SECOND,Yes,No,No,1,2,88,0,HAMPTON AVE / JAMIESON AVE,,,WILLMORE PARK,WILLMORE PARK,0,0,January2016.dta
441307,14jan2016,2016,1,14,1604,January,2016,Vagrancy,250000,LOITERING-BEGGING,Yes,No,No,1,3,31,1700,S GRAND BLVD,,,,,0,0,January2016.dta
441374,15jan2016,2016,1,15,136,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,3,23,2100,GEYER AVE,,GEYER,,,0,0,January2016.dta
441405,15jan2016,2016,1,15,922,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,4,77,3700,PAGE BLVD,,PAGE,,,0,0,January2016.dta
441433,15jan2016,2016,1,15,1531,January,2016,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,4,36,1600,OLIVE ST,,,,,0,0,January2016.dta
441464,15jan2016,2016,1,15,1926,January,2016,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,4,35,300,WASHINGTON AVE,,,,,0,0,January2016.dta
441522,16jan2016,2016,1,16,518,January,2016,Other Offense,265321,LEAVING SCENE OF ACCIDENT,Yes,No,No,1,3,16,0,4058 S GRAND BLVD / ALBERTA ST,,,,,0,0,January2016.dta
441525,16jan2016,2016,1,16,840,January,2016,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,1,17,4500,OREGON AVE,,OREGON,,,0,0,January2016.dta
441693,17jan2016,2016,1,17,1629,January,2016,Other Offense,266999,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,Yes,No,No,1,4,36,201,N 17TH,,N 17TH,,,0,0,January2016.dta
441915,19jan2016,2016,1,19,2034,January,2016,Sex Offenses,175400,SEX OFFNS-SX MISCONDUCT/SECOND,Yes,No,No,1,5,38,700,N KINGSHIGHWAY BLVD,,KINGSHIGHWAY,WHITE CASTLE,,0,0,January2016.dta
441926,19jan2016,2016,1,19,2200,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,2,15,3100,ALFRED AVE,,,,,0,0,January2016.dta
442055,21jan2016,2016,1,21,1335,January,2016,Other Offense,266999,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,Yes,No,No,1,4,59,2546,N. GRAND,,N. GRAND,UPPER LEVEL LOUNGE,NUISANCE ABATEMENT PROPERTY,0,0,January2016.dta
442074,21jan2016,2016,1,21,1610,January,2016,Sex Offenses,178100,SEX OFFNS-EXPOSURE/LEWD&LACIV ACT,Yes,No,No,1,2,88,0,HAMPTON AVE / JAMIESON AVE,,,WILLMORE PARK,WILLMORE PARK RESTROOM,0,0,January2016.dta
442131,22jan2016,2016,1,22,400,January,2016,Sex Offenses,175500,SEX OFFNS-SX MISCONDUCT/FIRST,Yes,No,No,1,5,46,5900,WATERMAN BLVD,,WATERMAN,,,0,0,January2016.dta
442139,22jan2016,2016,1,22,759,January,2016,Other Offense,265321,LEAVING SCENE OF ACCIDENT,Yes,No,No,1,0,0,0,UNKNOWN,,,PAGEDALE,,0,0,January2016.dta
442152,22jan2016,2016,1,22,1000,January,2016,Other Offense,263422,OBSTRUCT GOVRN OP-CITY COMM LIC VIOL,Yes,No,No,1,1,16,3935,S GRAND,,S GRAND,,3935-43 S GRAND,0,0,January2016.dta
442157,22jan2016,2016,1,22,1100,January,2016,Criminal Damage,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,Yes,No,No,1,0,0,0,UNKNOWN,,SKINKER,,,0,0,January2016.dta
442167,22jan2016,2016,1,22,1212,January,2016,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,4,35,600,CHESTNUT ST,,MARKET,KEINER PLAZA,,0,0,January2016.dta
442168,22jan2016,2016,1,22,1225,January,2016,Weapons,151130,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,Yes,No,No,1,0,0,7200,HAZELCREST,,,,,0,0,January2016.dta
442194,22jan2016,2016,1,22,1700,January,2016,Other Offense,266999,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,Yes,No,No,1,4,35,1000,WASHINGTON,,WASHINGTON,,,0,0,January2016.dta
442208,22jan2016,2016,1,22,1830,January,2016,Narcotics,182130,DRUGS-POSSESSION/HEROIN,Yes,No,No,1,6,56,3047,WHITTIER ST,,WHITTER,,,0,0,January2016.dta
442216,22jan2016,2016,1,22,1950,January,2016,Aggravated Assault,41013,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,Yes,No,No,1,0,0,0,UNKNOWN,,,,,0,0,January2016.dta
442292,23jan2016,2016,1,23,1347,January,2016,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,5,38,400,S EUCLID AVE,,,CENTRAL WEST END METRO LINK,@METROLINK - CENTRAL WEST END,0,0,January2016.dta
442300,23jan2016,2016,1,23,1645,January,2016,Sex Offenses,175500,SEX OFFNS-SX MISCONDUCT/FIRST,Yes,No,No,1,4,35,100,N 6TH ST,,6TH,ST. LOUIS BREAD COMPANY,@BREAD COMPANY- 6TH,0,0,January2016.dta
442379,24jan2016,2016,1,24,1230,January,2016,Larceny,67701,LARCENY-FROM BUILDING UNDER $500,Yes,No,No,1,4,36,1820,MARKET ST,,,,@UNION STATION,0,0,January2016.dta
442400,24jan2016,2016,1,24,1650,January,2016,Frauds,115100,FRAUD-STEALING BY DECEIT/OVER $150,Yes,No,No,1,5,38,4132,WASHINGTON BLVD,,WASHINGTON BLVD,,,0,0,January2016.dta
