xcoord,ycoord,id,dateOccurred,yearOccurred,monthOccurred,dayOccurred,timeOccurred,month,year,ucr,crime,description,newCrime,unfounded,adjustment,count,district,neighborhood,ileadsaddress,ileadsstreet,cadaddress,cadstreet,locationName,locationComment,_source
576265.259306934,1033601.40213332,439733,01jan2016,2016,1,1,300,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,6,68,4300,E FARLIN AVE,,RED BUD,,,January2016.dta
573181.44365418,1002335.263187,439929,02jan2016,2016,1,2,2000,January,2016,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,3,16,3900,S GRAND BLVD,,GRAND,SHELL/CONOCO STATION,REAR PARKING LOT,January2016.dta
583843.263223935,1013879.55444594,439976,03jan2016,2016,1,3,454,January,2016,Other Offense,266999,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,Yes,No,No,1,3,33,1425,PARK,,PARK,,,January2016.dta
575029.505234323,1021059.94139498,440256,05jan2016,2016,1,5,1850,January,2016,Sexual Assault,23000,RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST,Yes,No,No,1,4,37,3700,LINDELL BLVD,,,SAINT LOUIS UNIVERSITY,,January2016.dta
586375.346136205,1018412.71194198,440262,05jan2016,2016,1,5,1950,January,2016,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,4,36,1200,LOCUST ST,,,CHRIST CHURCH CATHEDRAL,,January2016.dta
569616.26174216,1030938.27206329,440466,07jan2016,2016,1,7,1200,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,5,55,1900,N EUCLID AVE,,ETZEL,,,January2016.dta
584345.996995069,1018575.57671157,440530,07jan2016,2016,1,7,2227,January,2016,Other Offense,266999,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,Yes,No,No,1,4,36,201,N 17TH,,N 17TH,,,January2016.dta
590655.413806789,1018909.75171341,440685,09jan2016,2016,1,9,100,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,4,35,900,N 1ST ST,,CLARK,HOTEL LUMIERE,,January2016.dta
575663.654116794,1003318.34015359,440765,10jan2016,2016,1,10,1,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,3,19,3700,MINNESOTA AVE,,MINNESOTA,,,January2016.dta
578261.238224998,1024447.17462444,440811,10jan2016,2016,1,10,1120,January,2016,Other Offense,266999,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,Yes,No,No,1,4,59,1400,N GRAND,,N GRAND,,,January2016.dta
559114.431008101,1004208.31067116,440904,11jan2016,2016,1,11,1028,January,2016,Larceny,63701,LARCENY-SHOPLIFT UNDER $500,Yes,No,No,1,2,7,60,HAMPTON VILLAGE,,,SCHNUCKS,,January2016.dta
561998.836567309,1024843.2761041,440912,11jan2016,2016,1,11,1145,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,5,47,5600,PERSHING AVE,,PERSHING,,APT 39,January2016.dta
588500.772651233,1020606.75797764,440993,11jan2016,2016,1,11,2240,January,2016,Other Offense,266999,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,Yes,No,No,1,4,62,1128,N 9TH,,N 9TH,,,January2016.dta
584831.56906198,1018911.78801435,441118,13jan2016,2016,1,13,200,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,4,36,1600,LOCUST ST,,,,,January2016.dta
575075.974386349,1012714.64180946,441307,14jan2016,2016,1,14,1604,January,2016,Vagrancy,250000,LOITERING-BEGGING,Yes,No,No,1,3,31,1700,S GRAND BLVD,,,,,January2016.dta
577213.127374426,1024356.91899676,441405,15jan2016,2016,1,15,922,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,4,77,3700,PAGE BLVD,,PAGE,,,January2016.dta
584345.996995069,1018575.57671157,441693,17jan2016,2016,1,17,1629,January,2016,Other Offense,266999,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,Yes,No,No,1,4,36,201,N 17TH,,N 17TH,,,January2016.dta
567193.252498824,1019670.77688519,441915,19jan2016,2016,1,19,2034,January,2016,Sex Offenses,175400,SEX OFFNS-SX MISCONDUCT/SECOND,Yes,No,No,1,5,38,700,N KINGSHIGHWAY BLVD,,KINGSHIGHWAY,WHITE CASTLE,,January2016.dta
579478.995327853,1026872.38613,442055,21jan2016,2016,1,21,1335,January,2016,Other Offense,266999,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,Yes,No,No,1,4,59,2546,N. GRAND,,N. GRAND,UPPER LEVEL LOUNGE,NUISANCE ABATEMENT PROPERTY,January2016.dta
572829.933343917,1001953.211638,442152,22jan2016,2016,1,22,1000,January,2016,Other Offense,263422,OBSTRUCT GOVRN OP-CITY COMM LIC VIOL,Yes,No,No,1,1,16,3935,S GRAND,,S GRAND,,3935-43 S GRAND,January2016.dta
588249.685279362,1017022.59424683,442167,22jan2016,2016,1,22,1212,January,2016,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,4,35,600,CHESTNUT ST,,MARKET,KEINER PLAZA,,January2016.dta
587305.824302744,1018693.39282646,442194,22jan2016,2016,1,22,1700,January,2016,Other Offense,266999,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,Yes,No,No,1,4,35,1000,WASHINGTON,,WASHINGTON,,,January2016.dta
576529.637773436,1030408.84691786,442208,22jan2016,2016,1,22,1830,January,2016,Narcotics,182130,DRUGS-POSSESSION/HEROIN,Yes,No,No,1,6,56,3047,WHITTIER ST,,WHITTER,,,January2016.dta
568372.105880905,1025050.42195755,442292,23jan2016,2016,1,23,1347,January,2016,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,5,38,400,S EUCLID AVE,,,CENTRAL WEST END METRO LINK,@METROLINK - CENTRAL WEST END,January2016.dta
583378.691807166,1017655.42089848,442379,24jan2016,2016,1,24,1230,January,2016,Larceny,67701,LARCENY-FROM BUILDING UNDER $500,Yes,No,No,1,4,36,1820,MARKET ST,,,,@UNION STATION,January2016.dta
573020.378254015,1023601.33123985,442400,24jan2016,2016,1,24,1650,January,2016,Frauds,115100,FRAUD-STEALING BY DECEIT/OVER $150,Yes,No,No,1,5,38,4132,WASHINGTON BLVD,,WASHINGTON BLVD,,,January2016.dta
585729.852928322,1010245.68859413,442496,25jan2016,2016,1,25,1440,January,2016,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,3,20,1800,S BROADWAY,,BROADWAY,BILLIES DINNER,,January2016.dta
574949.010749001,1020625.69503057,442557,26jan2016,2016,1,26,10,January,2016,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,4,37,3700,WEST PINE BLVD,,WEST PINE,ST LOUIS UNIVERSITY CAMPUS,,January2016.dta
572829.933343917,1001953.211638,442683,27jan2016,2016,1,27,1000,January,2016,Other Offense,263422,OBSTRUCT GOVRN OP-CITY COMM LIC VIOL,Yes,No,No,1,1,16,3935,SOUTH GRAND,,SOUTH GRAND,,3935-43 S GRAND,January2016.dta
575027.735344861,1020113.73621561,442772,28jan2016,2016,1,28,135,January,2016,Sex Offenses,178100,SEX OFFNS-EXPOSURE/LEWD&LACIV ACT,Yes,No,No,1,4,37,3700,LACLEDE AVE,,LACLEDE,HUMPHREYS,,January2016.dta
572829.933343917,1001953.211638,442790,28jan2016,2016,1,28,1030,January,2016,Other Offense,263422,OBSTRUCT GOVRN OP-CITY COMM LIC VIOL,Yes,No,No,1,1,16,3935,SOUTH GRAND,,SOUTH GRAND,,3935-43 S GRAND,January2016.dta
579028.657272596,1026640.07203351,442810,28jan2016,2016,1,28,1501,January,2016,Other Offense,266999,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,Yes,No,No,1,4,59,2501,N GRAND,,N GRAND,GRAND U BUY,NUISANCE ABATEMENT PROPERTY,January2016.dta
583378.691807166,1017655.42089848,443005,30jan2016,2016,1,30,1130,January,2016,Other Offense,266510,PUBLIC ORDER-TRESPASSING,Yes,No,No,1,4,36,1820,MARKET ST,,,,@UNION STATION,January2016.dta
572298.375814687,998814.729220591,443009,30jan2016,2016,1,30,1300,January,2016,Sex Offenses,175400,SEX OFFNS-SX MISCONDUCT/SECOND,Yes,No,No,1,1,16,4600,S GRAND BLVD,,GRAND,,APT 7,January2016.dta
