X,Y,ObjectID,Status,Score,Match_type,Match_addr,Side,Ref_ID,User_fld,Addr_type,ARC_Single,id,dateoccurr,yearoccurr,monthoccur,dayoccurre,timeoccurr,month,year,ucr,crime,descriptio,newcrime,unfounded,adjustment,count,district,neighborho,ileadsaddr,ileadsstre,cadaddress,cadstreet,locationna,locationco,xcoord,ycoord,_source,mergedilea
-1.79769313486232e+308,-1.79769313486232e+308,1,U,0.00000000000,A,,,-1,,,3900 WEST BELLE PL,439695,01jan2016,2016,1,1,1,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,5,58,3900,WEST BELLE PL,,WEST BELLE,,,0,0,January2016.dta,3900 WEST BELLE PL
576265.259306934,1033601.40213332,2,M,90.87000000000,A,4300 FARLIN AVE,,108256,,PointAddress,4300 E FARLIN AVE,439733,01jan2016,2016,1,1,300,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,6,68,4300,E FARLIN AVE,,RED BUD,,,0,0,January2016.dta,4300 E FARLIN AVE
-1.79769313486232e+308,-1.79769313486232e+308,3,U,0.00000000000,A,,,-1,,,5400 RIDGE AVE,439745,01jan2016,2016,1,1,545,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,5,78,5400,RIDGE AVE,,,,,0,0,January2016.dta,5400 RIDGE AVE
-1.79769313486232e+308,-1.79769313486232e+308,4,U,0.00000000000,A,,,-1,,,3400 MICHIGAN AVE,439919,02jan2016,2016,1,2,1850,January,2016,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,3,19,3400,MICHIGAN AVE,,MICHIGAN,,,0,0,January2016.dta,3400 MICHIGAN AVE
573181.44365418,1002335.263187,5,M,100.00000000000,A,3900 S GRAND BLVD,,29579,,PointAddress,3900 S GRAND BLVD,439929,02jan2016,2016,1,2,2000,January,2016,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,3,16,3900,S GRAND BLVD,,GRAND,SHELL/CONOCO STATION,REAR PARKING LOT,0,0,January2016.dta,3900 S GRAND BLVD
583843.263223935,1013879.55444594,6,M,100.00000000000,A,1425 PARK AVE,,21998,,PointAddress,1425 PARK,439976,03jan2016,2016,1,3,454,January,2016,Other Offense,266999,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,Yes,No,No,1,3,33,1425,PARK,,PARK,,,0,0,January2016.dta,1425 PARK
-1.79769313486232e+308,-1.79769313486232e+308,7,U,0.00000000000,A,,,-1,,,4600 EMERSON AVE,439990,03jan2016,2016,1,3,1110,January,2016,Sexual Assault,23000,RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST,Yes,No,No,1,6,71,4600,EMERSON AVE,,EMERSON,,,0,0,January2016.dta,4600 EMERSON AVE
-1.79769313486232e+308,-1.79769313486232e+308,8,U,0.00000000000,A,,,-1,,,4100 N EUCLID AVE,440028,03jan2016,2016,1,3,1800,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,6,69,4100,N EUCLID AVE,,EUCLID,,,0,0,January2016.dta,4100 N EUCLID AVE
-1.79769313486232e+308,-1.79769313486232e+308,9,U,0.00000000000,A,,,-1,,,2600 GRAVOIS AVE,440221,05jan2016,2016,1,5,1400,January,2016,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,3,24,2600,GRAVOIS AVE,,GRAVOIS,,,0,0,January2016.dta,2600 GRAVOIS AVE
575029.505234323,1021059.94139498,10,M,100.00000000000,A,3700 LINDELL BLVD,,38375,,PointAddress,3700 LINDELL BLVD,440256,05jan2016,2016,1,5,1850,January,2016,Sexual Assault,23000,RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST,Yes,No,No,1,4,37,3700,LINDELL BLVD,,,SAINT LOUIS UNIVERSITY,,0,0,January2016.dta,3700 LINDELL BLVD
586375.346136205,1018412.71194198,11,M,100.00000000000,A,1200 LOCUST ST,,67648,,PointAddress,1200 LOCUST ST,440262,05jan2016,2016,1,5,1950,January,2016,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,4,36,1200,LOCUST ST,,,CHRIST CHURCH CATHEDRAL,,0,0,January2016.dta,1200 LOCUST ST
-1.79769313486232e+308,-1.79769313486232e+308,12,U,0.00000000000,A,,,-1,,,5518 JULIAN,440267,05jan2016,2016,1,5,2027,January,2016,Other Assaults,91114,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",Yes,No,No,1,5,48,5518,JULIAN,,,,REAR PARKING LOT,0,0,January2016.dta,5518 JULIAN
569616.26174216,1030938.27206329,13,M,100.00000000000,A,1900 N EUCLID AVE,,60610,,PointAddress,1900 N EUCLID AVE,440466,07jan2016,2016,1,7,1200,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,5,55,1900,N EUCLID AVE,,ETZEL,,,0,0,January2016.dta,1900 N EUCLID AVE
584345.996995069,1018575.57671157,14,M,100.00000000000,A,201 N 17TH ST,,152306,,PointAddress,201 N 17TH,440530,07jan2016,2016,1,7,2227,January,2016,Other Offense,266999,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,Yes,No,No,1,4,36,201,N 17TH,,N 17TH,,,0,0,January2016.dta,201 N 17TH
-1.79769313486232e+308,-1.79769313486232e+308,15,U,0.00000000000,A,,,-1,,,200 N 17TH ST,440531,07jan2016,2016,1,7,2227,January,2016,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,4,36,200,N 17TH ST,,17TH,,,0,0,January2016.dta,200 N 17TH ST
590655.413806789,1018909.75171341,16,M,100.00000000000,A,900 N 1ST ST,,168078,,PointAddress,900 N 1ST ST,440685,09jan2016,2016,1,9,100,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,4,35,900,N 1ST ST,,CLARK,HOTEL LUMIERE,,0,0,January2016.dta,900 N 1ST ST
-1.79769313486232e+308,-1.79769313486232e+308,17,U,0.00000000000,A,,,-1,,,4900 CARTER AVE,440687,09jan2016,2016,1,9,155,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,6,69,4900,CARTER AVE,,CARTER,,,0,0,January2016.dta,4900 CARTER AVE
-1.79769313486232e+308,-1.79769313486232e+308,18,U,0.00000000000,A,,,-1,,,2800 S COMPTON AVE,440731,09jan2016,2016,1,9,1700,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,3,25,2800,S COMPTON AVE,,DUNNICA,,,0,0,January2016.dta,2800 S COMPTON AVE
-1.79769313486232e+308,-1.79769313486232e+308,19,U,0.00000000000,A,,,-1,,,800 GUSTAV AVE,440755,09jan2016,2016,1,9,2200,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,6,74,800,GUSTAV AVE,,BROADWAY,,,0,0,January2016.dta,800 GUSTAV AVE
575663.654116794,1003318.34015359,20,M,100.00000000000,A,3700 MINNESOTA AVE,,78528,,PointAddress,3700 MINNESOTA AVE,440765,10jan2016,2016,1,10,1,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,3,19,3700,MINNESOTA AVE,,MINNESOTA,,,0,0,January2016.dta,3700 MINNESOTA AVE
578261.238224998,1024447.17462444,21,M,100.00000000000,A,1400 N GRAND BLVD,,33755,,PointAddress,1400 N GRAND,440811,10jan2016,2016,1,10,1120,January,2016,Other Offense,266999,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,Yes,No,No,1,4,59,1400,N GRAND,,N GRAND,,,0,0,January2016.dta,1400 N GRAND
559114.431008101,1004208.31067116,22,M,100.00000000000,A,60 HAMPTON VILLAGE PLAZA,,214711,,PointAddress,60 HAMPTON VILLAGE,440904,11jan2016,2016,1,11,1028,January,2016,Larceny,63701,LARCENY-SHOPLIFT UNDER $500,Yes,No,No,1,2,7,60,HAMPTON VILLAGE,,,SCHNUCKS,,0,0,January2016.dta,60 HAMPTON VILLAGE
561998.836567309,1024843.2761041,23,M,100.00000000000,A,5600 PERSHING AVE,,54099,,PointAddress,5600 PERSHING AVE,440912,11jan2016,2016,1,11,1145,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,5,47,5600,PERSHING AVE,,PERSHING,,APT 39,0,0,January2016.dta,5600 PERSHING AVE
