xcoord,ycoord,objectid_1,id,dateOccurred,yearOccurred,monthOccurred,dayOccurred,timeOccurred,month,year,ucr,crime,description,newCrime,unfounded,adjustment,count,district,neighborhood,ileadsaddress,ileadsstreet,cadaddress,cadstreet,locationName,locationComment,_source
910041.069672577,1021501.42392891,1,872,06jan2008,2008,1,6,110,1,2008,6,69602,"LARCENY-ALL OTHER $500 - $24,999",1,0,0,1,0,0,1416,N BROADWAY,1416,N BROADWAY,GREAT WESTERN BAG COMPANY,,January2008.dta
906569.805617746,1017219.24811007,2,2758,17jan2008,2008,1,17,1300,1,2008,9,92000,SIMPLE ASSAULT-HARRASSMENT,1,0,0,1,4,0,1114,MARKET,1114,MARKET,MEL CARNAHAN BUILDING,OFFICE OF THE CIRCUIT ATTORNEY,January2008.dta
905323.747742411,1016262.77134849,5,4844,14jan2008,2008,1,14,1200,2,2008,11,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,1,0,0,1,4,0,400,S 14TH ST,0,S 14TH,,,February2008.dta
905907.597952664,1017104.51900882,6,6062,08feb2008,2008,2,8,1222,2,2008,11,115100,FRAUD-STEALING BY DECEIT/OVER $150,1,0,0,1,4,0,1200,MARKET ST,1200,MARKET,,@CITY HALL,February2008.dta
908107.241191164,1017398.48790907,7,6685,13feb2008,2008,2,13,800,2,2008,9,92000,SIMPLE ASSAULT-HARRASSMENT,1,0,0,1,4,0,111,N. 7TH,0,N 7TH,PROBATION AND PAROLE,PROBATION AND PAROLE OFFICES DISTRIC,February2008.dta
880335.360711411,1031791.33609182,8,6732,13feb2008,2008,2,13,1400,2,2008,18,182250,DRUGS-POSSESSION/COCAINE,1,0,0,1,7,0,5952,OAKHERST PL.,5952,OAKHERST PL,,,February2008.dta
887231.442391664,1016908.38127774,11,8005,22feb2008,2008,2,22,2059,2,2008,26,266999,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1,0,0,1,0,0,1187,S. KINGSHIGHWAY,1187,S KINGSHIGHWAY,BP AMOCO,BP AMOCO,February2008.dta
892424.640666664,999182.920665741,15,9620,03mar2008,2008,3,3,915,3,2008,26,264100,HEALTH-SANITATION VIOL,1,0,0,1,0,0,4519,S GRAND,4519,S GRAND,,,March2008.dta
889675.735403329,1020902.36410341,16,9855,05mar2008,2008,3,5,1300,3,2008,5,52322,BURGLARY-BUSINESS/UNK TIME/UNLAW ENT/UNOCCUPIE,1,0,0,1,0,0,4444,FOREST PARK BLVD,4444,FOREST PARK,,,March2008.dta
897214.339420579,1031692.01115924,17,10193,07mar2008,2008,3,7,1531,3,2008,6,67701,LARCENY-FROM BUILDING UNDER $500,1,0,0,1,0,0,4130,W. NATURAL BRIDGE AV,4130,NATURAL BRIDGE,AUTO ZONE,,March2008.dta
901563.901587579,1029557.50985082,18,10303,08mar2008,2008,3,8,240,3,2008,9,91113,SIMPLE ASSAULT-ADULT/NO INJURY,1,0,0,1,0,0,3221,NATURAL BRIDGE AVE,3221,NATURAL BRIDGE,,,March2008.dta
903272.740361497,1028260.20896774,19,11150,13mar2008,2008,3,13,1430,3,2008,26,264100,HEALTH-SANITATION VIOL,1,0,0,1,5,0,2526,PALM ST,2526,PALM,,,March2008.dta
874937.982726663,1012216.75089724,20,11289,14mar2008,2008,3,14,800,3,2008,7,72113,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,1,0,0,1,0,0,6909,SOUTHWEST,6909,SOUTHWEST,,,March2008.dta
907502.659723163,1018544.7526769,21,11424,14mar2008,2008,3,14,2335,3,2008,6,64701,LARCENY-FROM MTR VEH UNDER $500,1,0,0,1,0,0,419,10 ST,0,N 10TH,,,March2008.dta
900308.511709914,1028079.0525059,22,11429,15mar2008,2008,3,15,5,3,2008,3,31422,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/ATTEMPT,1,0,0,1,5,0,2900,N. GRAND,2900,N GRAND,,,March2008.dta
879249.991491079,1017184.65500341,23,11888,17mar2008,2008,3,17,1645,3,2008,17,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,1,0,0,1,0,0,6400,WEST PARK,6400,WEST PARK,,,March2008.dta
892424.640666664,999182.920665741,24,13277,26mar2008,2008,3,26,1000,3,2008,26,264100,HEALTH-SANITATION VIOL,1,0,0,1,0,0,4519,S. GRAND,4519,S GRAND,,,March2008.dta
887665.807008494,1018320.08645957,25,14166,03jan2008,2008,1,3,900,4,2008,26,264100,HEALTH-SANITATION VIOL,1,0,0,1,0,0,1034,S. KINGSHIGHWAY,1034,S KINGSHIGHWAY,,,April2008.dta
891322.236703496,1035349.22726999,26,14250,15mar2008,2008,3,15,2107,4,2008,11,112020,FRAUD-CREDIT DEVICE/UNDER $150,1,0,0,1,0,0,3720,N KINGSHIGHWAY,3720,N KINGSHIGHWAY,WALGREENS,,April2008.dta
892715.328733578,999620.766902909,27,14310,26mar2008,2008,3,26,1000,4,2008,26,264100,HEALTH-SANITATION VIOL,1,0,0,1,0,0,4405,S. GRAND,4405,S GRAND,,,April2008.dta
905123.117566247,1026783.10102957,28,14473,01apr2008,2008,4,1,1020,4,2008,18,182250,DRUGS-POSSESSION/COCAINE,1,0,0,1,5,0,2929,N. 20TH,2929,N 20TH,,ALIAS ST LOUIS AVE/RAUSCHENBACH AVE,April2008.dta
