xcoord,ycoord,objectid_1,status,id,dateOccurred,yearOccurred,monthOccurred,dayOccurred,timeOccurred,month,year,ucr,crime,description,newCrime,unfounded,adjustment,count,district,neighborhood,ileadsaddress,ileadsstreet,cadaddress,cadstreet,locationName,locationComment,_source
-1.79769313486232e+308,-,3,U,3146,19jan2008,2008,1,19,2230,1,2008,14,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1,0,0,1,4,0,200,S FOUTH,0,S 4TH,STADIUM EAST PARKING GARAGE,,January2008.dta
-1.79769313486232e+308,-,4,U,4492,28jan2008,2008,1,28,2250,1,2008,3,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,1,0,0,1,0,0,3600,WESTFLORISSANT,3600,W FLORISSANT,,,January2008.dta
-1.79769313486232e+308,-,9,U,7076,15feb2008,2008,2,15,1900,2,2008,5,51212,BURGLARY-RESIDENCE/NIT/FORCE ENT/UNOCCUPIED,1,0,0,1,1,0,120,W CATALAN ST ST LOUI,0,CATALAN,,APT 111,February2008.dta
-1.79769313486232e+308,-,10,U,7909,22feb2008,2008,2,22,150,2,2008,18,182999,DRUGS-POSSESSION/OTHR UNSPEC DRUG,1,0,0,1,0,0,4600,S.BROADWAY ST LOUIS,4600,S BROADWAY,,,February2008.dta
-1.79769313486232e+308,-,12,U,8336,25feb2008,2008,2,25,1430,2,2008,18,182250,DRUGS-POSSESSION/COCAINE,1,0,0,1,0,0,4800,BLOCK OF LEE ST LOUI,4800,LEE,,,February2008.dta
-1.79769313486232e+308,-,13,U,8628,27feb2008,2008,2,27,1430,2,2008,9,91113,SIMPLE ASSAULT-ADULT/NO INJURY,1,0,0,1,0,0,300,S 18TH,0,S 18TH,METRO,METROLINK PLATFORM,February2008.dta
-1.79769313486232e+308,-,14,U,8629,27feb2008,2008,2,27,1430,2,2008,9,91113,SIMPLE ASSAULT-ADULT/NO INJURY,1,0,0,1,0,0,300,S 18TH,0,S 18TH,METRO,METROLINK PLATFORM,February2008.dta
-1.79769313486232e+308,-,37,U,17121,16apr2008,2008,4,16,1529,4,2008,17,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,1,0,0,1,9,0,2900,SAMUEL SHEPARD,2900,SAMUEL SHEPARD,,,April2008.dta
-1.79769313486232e+308,-,40,U,17515,18apr2008,2008,4,18,1635,4,2008,9,91113,SIMPLE ASSAULT-ADULT/NO INJURY,1,0,0,1,9,0,850,S GRAND,0,S GRAND,,ON GRAND AVE ABOVE THE METROLINK STA,April2008.dta
-1.79769313486232e+308,-,42,U,17947,20apr2008,2008,4,20,2245,4,2008,6,64701,LARCENY-FROM MTR VEH UNDER $500,1,0,0,1,0,0,1031,HIGHLANDER PLAZA DR,1031,HIGHLANDER DR,HIGHLANDS LOFTS,,April2008.dta
-1.79769313486232e+308,-,47,U,19426,29apr2008,2008,4,29,1345,4,2008,7,72113,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,1,0,0,1,9,0,3225,SCHOOL,3225,SCHOOL,BLUMEYER,,April2008.dta
-1.79769313486232e+308,-,49,U,20213,02may2008,2008,5,2,1930,5,2008,24,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,1,0,0,1,4,35,420,S 8TH ST LOUIS,0,S 8TH,BUSCH STADIUM,,May2008.dta
-1.79769313486232e+308,-,51,U,20624,05may2008,2008,5,5,730,5,2008,7,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1,0,0,1,3,20,2700,S 7TH ST,2700,S 7TH,,,May2008.dta
-1.79769313486232e+308,-,52,U,20647,05may2008,2008,5,5,1010,5,2008,3,31422,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/ATTEMPT,1,0,0,1,4,36,137,UNION STATION METROL,0,MARKET,UNION STATION,PASSENGER PICKUP/DROPOFF,May2008.dta
-1.79769313486232e+308,-,53,U,20765,05may2008,2008,5,5,2135,5,2008,11,115200,FRAUD-STEALING BY DECEIT/UNDER $150,1,0,0,1,7,48,731,HODIAMONT,0,HODIAMONT,DELMAR METROLINK,@METROLINK - DELMAR,May2008.dta
-1.79769313486232e+308,-,54,U,20776,05may2008,2008,5,5,2250,5,2008,24,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,1,0,0,1,7,47,250,DEBALIVIERE,0,DEBALIVIERE,METRO,@FOREST PARK METROLINK,May2008.dta
903884.649898827,1011584.75937907,55,T,21200,08may2008,2008,5,8,1814,5,2008,9,92000,SIMPLE ASSAULT-HARRASSMENT,1,0,0,1,4,34,1816,S TUCKER BLVD,1816,S TUCKER,,APT A,May2008.dta
-1.79769313486232e+308,-,56,U,22323,15may2008,2008,5,15,1208,5,2008,6,64701,LARCENY-FROM MTR VEH UNDER $500,1,0,0,1,4,36,137,METROLINK- UNION STA,1414,SPRUCE,UNION STATION PLATFORM,300 S 18TH UNION STATION,May2008.dta
-1.79769313486232e+308,-,58,U,23942,23may2008,2008,5,23,2200,5,2008,24,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,1,0,0,1,9,37,3600,SCOTT,3600,SCOTT,ST. LOUIS METROLINK,GRAND METROLINK PLATFORM,May2008.dta
-1.79769313486232e+308,-,61,U,25002,29may2008,2008,5,29,2025,5,2008,15,151130,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,1,0,0,1,6,0,4781,DAVISON AVE,4781,DAVISON,,,May2008.dta
-1.79769313486232e+308,-,64,U,25568,30may2008,2008,5,30,1350,6,2008,4,44013,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN ADLT 3RD DEGRE",1,0,0,1,7,48,731,HODIAMONT,0,HODIAMONT,DELMAR METROLINK WB,WESTBOUND METROLINK LRV# 4002,June2008.dta
-1.79769313486232e+308,-,65,U,25569,30may2008,2008,5,30,1430,6,2008,6,67701,LARCENY-FROM BUILDING UNDER $500,1,0,0,1,9,29,5600,S SPRING,5600,S SPRING,,,June2008.dta
-1.79769313486232e+308,-,66,U,25860,01jun2008,2008,6,1,2345,6,2008,3,31421,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,1,0,0,1,9,38,11,SO. SARAH,0,S SARAH,STREET,,June2008.dta
-1.79769313486232e+308,-,69,U,27034,08jun2008,2008,6,8,600,6,2008,7,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1,0,0,1,7,50,3200,HAMILTON,3200,HAMILTON,,,June2008.dta
-1.79769313486232e+308,-,72,U,28256,14jun2008,2008,6,14,2119,6,2008,7,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1,0,0,1,9,29,1500,MOTARD,1500,MOTARD,,,June2008.dta
