X,Y,OBJECTID_1,ObjectID,Status,Score,Match_type,Match_addr,Side,Ref_ID,User_fld,Addr_type,ARC_Single,id,dateoccurr,dateoccu_1,dateoccu_2,yearoccurr,monthoccur,dayoccurre,timeoccurr,month,year,ucr,crime,descriptio,newcrime,unfounded,adjustment,count,district,neighborho,ileadsaddr,ileadsstre,cadaddress,cadstreet,locationna,locationco,xcoord,ycoord,_source,mergedilea
910041.069672577,1021501.42392891,1,1,M,100.00000000000,A,1416 N BROADWAY,,23558,,PointAddress,1416 N BROADWAY,872,06jan2008,-142.66098984000,-29.68709819100,2008,1,6,110,1,2008,6,69602,"LARCENY-ALL OTHER $500 - $24,999",1,0,0,1,0,0,1416,N BROADWAY,1416,N BROADWAY,GREAT WESTERN BAG COMPANY,,0,0,January2008.dta,1416 N BROADWAY
906569.805617746,1017219.24811007,2,2,M,100.00000000000,A,1114 MARKET ST,,61269,,PointAddress,1114 MARKET,2758,17jan2008,-92.62140612710,-24.78699226370,2008,1,17,1300,1,2008,9,92000,SIMPLE ASSAULT-HARRASSMENT,1,0,0,1,4,0,1114,MARKET,1114,MARKET,MEL CARNAHAN BUILDING,OFFICE OF THE CIRCUIT ATTORNEY,0,0,January2008.dta,1114 MARKET
-1.79769313486232e+308,-1.79769313486232e+308,3,3,U,0.00000000000,A,,,-1,,,200 S FOUTH,3146,19jan2008,-72.77000713870,-25.19619659540,2008,1,19,2230,1,2008,14,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1,0,0,1,4,0,200,S FOUTH,0,S 4TH,STADIUM EAST PARKING GARAGE,,0,0,January2008.dta,200 S FOUTH
-1.79769313486232e+308,-1.79769313486232e+308,4,4,U,0.00000000000,A,,,-1,,,3600 WESTFLORISSANT,4492,28jan2008,-18.92662177970,-29.69998611020,2008,1,28,2250,1,2008,3,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,1,0,0,1,0,0,3600,WESTFLORISSANT,3600,W FLORISSANT,,,0,0,January2008.dta,3600 WESTFLORISSANT
905323.747742411,1016262.77134849,5,5,M,100.00000000000,A,400 S 14TH ST,,98749,,PointAddress,400 S 14TH ST,4844,14jan2008,-111.09169158900,-29.20469167880,2008,1,14,1200,2,2008,11,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,1,0,0,1,4,0,400,S 14TH ST,0,S 14TH,,,0,0,February2008.dta,400 S 14TH ST
905907.597952664,1017104.51900882,6,6,M,100.00000000000,A,1200 MARKET ST,,61312,,PointAddress,1200 MARKET ST,6062,08feb2008,0.00000000000,0.00000000000,2008,2,8,1222,2,2008,11,115100,FRAUD-STEALING BY DECEIT/OVER $150,1,0,0,1,4,0,1200,MARKET ST,1200,MARKET,,@CITY HALL,0,0,February2008.dta,1200 MARKET ST
908107.241191164,1017398.48790907,7,7,M,100.00000000000,A,111 N 7TH ST,,153389,,PointAddress,111 N. 7TH,6685,13feb2008,-104.70075803100,-53.17697823870,2008,2,13,800,2,2008,9,92000,SIMPLE ASSAULT-HARRASSMENT,1,0,0,1,4,0,111,N. 7TH,0,N 7TH,PROBATION AND PAROLE,PROBATION AND PAROLE OFFICES DISTRIC,0,0,February2008.dta,111 N. 7TH
880335.360711411,1031791.33609182,8,8,M,100.00000000000,A,5952 OAKHERST PL,,170411,,PointAddress,5952 OAKHERST PL.,6732,13feb2008,-104.70075803100,-53.17697823870,2008,2,13,1400,2,2008,18,182250,DRUGS-POSSESSION/COCAINE,1,0,0,1,7,0,5952,OAKHERST PL.,5952,OAKHERST PL,,,0,0,February2008.dta,5952 OAKHERST PL.
-1.79769313486232e+308,-1.79769313486232e+308,9,9,U,0.00000000000,A,,,-1,,,120 W CATALAN ST ST LOUI,7076,15feb2008,-80.88137162530,-52.55437543530,2008,2,15,1900,2,2008,5,51212,BURGLARY-RESIDENCE/NIT/FORCE ENT/UNOCCUPIED,1,0,0,1,1,0,120,W CATALAN ST ST LOUI,0,CATALAN,,APT 111,0,0,February2008.dta,120 W CATALAN ST ST LOUI
-1.79769313486232e+308,-1.79769313486232e+308,10,10,U,0.00000000000,A,,,-1,,,4600 S.BROADWAY ST LOUIS,7909,22feb2008,0.00000000000,0.00000000000,2008,2,22,150,2,2008,18,182999,DRUGS-POSSESSION/OTHR UNSPEC DRUG,1,0,0,1,0,0,4600,S.BROADWAY ST LOUIS,4600,S BROADWAY,,,0,0,February2008.dta,4600 S.BROADWAY ST LOUIS
