id,dateoccurred,yearoccurred,monthoccurred,dayoccurred,timeoccurred,month,year,ucr,crime,description,newcrime,unfounded,adjustment,count,district,neighborhood,ileadsaddress,ileadsstreet,cadaddress,cadstreet,locationname,locationcomment,xcoord,ycoord,_source,mergedileads
872,06jan2008,2008,1,6,110,January,2008,Larceny,69602,"LARCENY-ALL OTHER $500 - $24,999",Yes,No,No,1,0,0,1416,N BROADWAY,1416,N BROADWAY,GREAT WESTERN BAG COMPANY,,0,0,January2008.dta,1416 N BROADWAY
2758,17jan2008,2008,1,17,1300,January,2008,Other Assaults,92000,SIMPLE ASSAULT-HARRASSMENT,Yes,No,No,1,4,0,1114,MARKET,1114,MARKET,MEL CARNAHAN BUILDING,OFFICE OF THE CIRCUIT ATTORNEY,0,0,January2008.dta,1114 MARKET
3146,19jan2008,2008,1,19,2230,January,2008,Criminal Damage,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,Yes,No,No,1,4,0,200,S FOUTH,0,S 4TH,STADIUM EAST PARKING GARAGE,,0,0,January2008.dta,200 S FOUTH
4492,28jan2008,2008,1,28,2250,January,2008,Robbery,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,Yes,No,No,1,0,0,3600,WESTFLORISSANT,3600,W FLORISSANT,,,0,0,January2008.dta,3600 WESTFLORISSANT
4844,14jan2008,2008,1,14,1200,February,2008,Frauds,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,Yes,No,No,1,4,0,400,S 14TH ST,0,S 14TH,,,0,0,February2008.dta,400 S 14TH ST
6062,08feb2008,2008,2,8,1222,February,2008,Frauds,115100,FRAUD-STEALING BY DECEIT/OVER $150,Yes,No,No,1,4,0,1200,MARKET ST,1200,MARKET,,@CITY HALL,0,0,February2008.dta,1200 MARKET ST
6685,13feb2008,2008,2,13,800,February,2008,Other Assaults,92000,SIMPLE ASSAULT-HARRASSMENT,Yes,No,No,1,4,0,111,N. 7TH,0,N 7TH,PROBATION AND PAROLE,PROBATION AND PAROLE OFFICES DISTRIC,0,0,February2008.dta,111 N. 7TH
6732,13feb2008,2008,2,13,1400,February,2008,Narcotics,182250,DRUGS-POSSESSION/COCAINE,Yes,No,No,1,7,0,5952,OAKHERST PL.,5952,OAKHERST PL,,,0,0,February2008.dta,5952 OAKHERST PL.
7076,15feb2008,2008,2,15,1900,February,2008,Burglary,51212,BURGLARY-RESIDENCE/NIT/FORCE ENT/UNOCCUPIED,Yes,No,No,1,1,0,120,W CATALAN ST ST LOUI,0,CATALAN,,APT 111,0,0,February2008.dta,120 W CATALAN ST ST LOUI
7909,22feb2008,2008,2,22,150,February,2008,Narcotics,182999,DRUGS-POSSESSION/OTHR UNSPEC DRUG,Yes,No,No,1,0,0,4600,S.BROADWAY ST LOUIS,4600,S BROADWAY,,,0,0,February2008.dta,4600 S.BROADWAY ST LOUIS
8005,22feb2008,2008,2,22,2059,February,2008,Other Offense,266999,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,Yes,No,No,1,0,0,1187,S. KINGSHIGHWAY,1187,S KINGSHIGHWAY,BP AMOCO,BP AMOCO,0,0,February2008.dta,1187 S. KINGSHIGHWAY
8336,25feb2008,2008,2,25,1430,February,2008,Narcotics,182250,DRUGS-POSSESSION/COCAINE,Yes,No,No,1,0,0,4800,BLOCK OF LEE ST LOUI,4800,LEE,,,0,0,February2008.dta,4800 BLOCK OF LEE ST LOUI
8628,27feb2008,2008,2,27,1430,February,2008,Other Assaults,91113,SIMPLE ASSAULT-ADULT/NO INJURY,Yes,No,No,1,0,0,300,S 18TH,0,S 18TH,METRO,METROLINK PLATFORM,0,0,February2008.dta,300 S 18TH
8629,27feb2008,2008,2,27,1430,February,2008,Other Assaults,91113,SIMPLE ASSAULT-ADULT/NO INJURY,Yes,No,No,1,0,0,300,S 18TH,0,S 18TH,METRO,METROLINK PLATFORM,0,0,February2008.dta,300 S 18TH
9620,03mar2008,2008,3,3,915,March,2008,Other Offense,264100,HEALTH-SANITATION VIOL,Yes,No,No,1,0,0,4519,S GRAND,4519,S GRAND,,,0,0,March2008.dta,4519 S GRAND
9855,05mar2008,2008,3,5,1300,March,2008,Burglary,52322,BURGLARY-BUSINESS/UNK TIME/UNLAW ENT/UNOCCUPIE,Yes,No,No,1,0,0,4444,FOREST PARK BLVD,4444,FOREST PARK,,,0,0,March2008.dta,4444 FOREST PARK BLVD
10193,07mar2008,2008,3,7,1531,March,2008,Larceny,67701,LARCENY-FROM BUILDING UNDER $500,Yes,No,No,1,0,0,4130,W. NATURAL BRIDGE AV,4130,NATURAL BRIDGE,AUTO ZONE,,0,0,March2008.dta,4130 W. NATURAL BRIDGE AV
10303,08mar2008,2008,3,8,240,March,2008,Other Assaults,91113,SIMPLE ASSAULT-ADULT/NO INJURY,Yes,No,No,1,0,0,3221,NATURAL BRIDGE AVE,3221,NATURAL BRIDGE,,,0,0,March2008.dta,3221 NATURAL BRIDGE AVE
11150,13mar2008,2008,3,13,1430,March,2008,Other Offense,264100,HEALTH-SANITATION VIOL,Yes,No,No,1,5,0,2526,PALM ST,2526,PALM,,,0,0,March2008.dta,2526 PALM ST
11289,14mar2008,2008,3,14,800,March,2008,Motor Vehicle Theft,72113,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,Yes,No,No,1,0,0,6909,SOUTHWEST,6909,SOUTHWEST,,,0,0,March2008.dta,6909 SOUTHWEST
